index,query,summary,label,rationale
351,What was Jammu & Kashmir Bank's CASA ratio in the most recently reported quarter?,"Based on the provided knowledge graph path, the starting entity is **The Jammu & Kashmir Bank Limited** and the ending entity is its **provision coverage ratio**. Specifically, the bank achieved a strong provision coverage ratio of **90.53%**. In financial terms, this high percentage indicates that the institution has set aside a robust reserve of funds to cover potential non-performing loans, reflecting a prudent approach to risk management.",Not relevant,Gives provision coverage ratio instead of the requested CASA ratio.
352,What is Jammu & Kashmir Bank's net interest margin (NIM) for the latest reported period?,"Based on the provided knowledge graph data, here is the summary:

1. **Starting and Ending Entities:** The starting entity is **The Jammu & Kashmir Bank Limited**, and the ending entities include its key financial metrics and institutional stakeholders (such as CARE Ratings and government ownership entities).
2. **Business/Financial Summary:** The Jammu & Kashmir Bank Limited operates as an RBI-designated universal bank with a strong, low-cost deposit franchise driven by its exclusive government-banking status. While it benefits from a wide regional presence, extensive branch and ATM networks, and improved asset quality—such as a gross NPA of 2.37% and a provision coverage ratio of 90.53%—it also faces analytical scrutiny from agencies like CARE Ratings regarding its geographic concentration and moderate scale.
3. **Numerical Facts:** As of June 2025, the Chief Secretary of the J&K government held a majority ownership stake of 51.89%. Furthermore, the bank operates 1,008 branches and 1,436 ATMs as of December 2025, and reported a net profit of ₹424.18 crore alongside a Q1 FY27 net-interest-income of ₹3,546.08 crore.",Not relevant,Covers multiple financial metrics but never states the NIM figure asked for.
353,What are Jammu & Kashmir Bank's gross NPA and net NPA ratios?,"**Summary:**

1. **Starting and Ending Entities:** The starting entity is **The Jammu & Kashmir Bank Limited**, and the ending entity is **CARE Ratings** (along with various operational and financial metrics). 
2. **Business/Financial Explanation:** The knowledge graph outlines the profile of The Jammu & Kashmir Bank Limited, a universal bank regulated by the RBI and SEBI, which benefits from an exclusive government-banking status providing a low-cost, sticky deposit base. However, rating agencies like CARE Ratings point out weaknesses such as a moderate scale of operations and heavy geographic concentration in J&K and Ladakh, exposing the bank to regional security and political risks.
3. **Numerical Facts:** As of June 2025, the J&K government held a majority ownership stake of 51.89%. Operationally, the bank maintains 1,008 branches and 1,436 ATMs as of December 2025, and recently reported a quarterly net profit of ₹424.18 crore alongside a capital adequacy ratio of 16.67% under Basel III.",Not relevant,Discusses CARE Ratings and other metrics but never gives gross or net NPA figures.
354,"What is Jammu & Kashmir Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Based on the provided knowledge graph data, here is the summary of the relationship path:

1. **Starting and Ending Entities:** The starting entity is **Jammu & Kashmir Bank Limited**, and the ending entity is **CARE Ratings**.
2. **Business/Financial Explanation:** CARE Ratings evaluates the financial strength and risk profile of Jammu & Kashmir Bank Limited, reaffirming an AA- Stable rating on its Tier II Basel III bonds. However, the rating agency also points out key vulnerabilities for the bank, specifically noting its moderate scale of operations and heavy geographic concentration in J&K and Ladakh as weaknesses.
3. **Numerical Facts:** The knowledge graph path does not contain specific numerical ratings or quantitative metrics tied directly to this rating evaluation.",Not relevant,"Explicitly states no CRAR/CET1 numerical facts are included, failing to answer the query."
355,What are Jammu & Kashmir Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"1. **Starting and Ending Entities:** The starting entity is **Jammu & Kashmir Bank** (The Jammu & Kashmir Bank Limited), and the ending entity is **CARE Ratings** (along with various financial metrics and ownership stakeholders).

2. **Business/Financial Summary:** The knowledge graph details the operational scale, financial performance, and credit profile of Jammu & Kashmir Bank, which operates as an RBI-designated universal bank with a strong government-backed low-cost deposit franchise. While the bank benefits from exclusive government-banking status and stable asset quality—evidenced by an improved gross NPA of 2.37%—rating agencies like CARE Ratings note vulnerabilities stemming from its heavy geographic concentration in J&K and Ladakh. 

3. **Numerical Facts:** As of June 2025, the Chief Secretary of the J&K government held a 51.89% ownership stake in the bank. Furthermore, the bank operates a network including 1,008 branches and 1,436 ATMs as of December 2025, and reported a Q1 FY27 net interest income of ₹3,546.08 crore alongside a capital adequacy ratio of 16.67% under Basel III.",Not relevant,Provides other financial metrics but never states ROA or ROE.
356,What was Jammu & Kashmir Bank's total advances (loan book) and deposit growth in the latest quarter?,"Based on the provided knowledge graph, the starting entity is **The Jammu & Kashmir Bank Limited** and the ending entity is **Jammu & Kashmir Bank** (representing the same institution across different data points). 

The bank operates as an RBI-designated universal bank with a strong, low-cost deposit franchise driven by its exclusive government-banking status. As of June 2025, it is majority-owned by the Government of Jammu & Kashmir (with the Chief Secretary holding a 51.89% stake), and it reported a net profit of ₹424.18 crore for the quarter. While benefiting from high-CASA government deposits and improved asset quality—such as a gross NPA of 2.37%—the bank faces key risks from its heavy geographic and political concentration in Jammu & Kashmir and Ladakh.",Not relevant,Gives net profit and ownership details but no advances or deposit growth figures.
357,"What credit ratings has Jammu & Kashmir Bank received, and from which rating agencies?","**Starting Entity:** Jammu & Kashmir Bank  
**Ending Entity:** Tier II Basel III bonds  

**Summary:**  
Jammu & Kashmir Bank received a reaffirmed credit rating of AA- with a stable outlook specifically for its Tier II Basel III bonds. This rating affirmation reflects the ongoing creditworthiness and financial stability of the bank's subordinated debt instruments.",Somewhat relevant,States the AA- Stable rating on Tier II bonds but does not name the rating agency as asked.
358,"Roughly how many branches and ATMs does Jammu & Kashmir Bank operate, and as of what date?","The starting entity is The Jammu & Kashmir Bank Limited, and the ending entity is its operational distribution network, comprising four specific facility types as of December 2025. The bank manages a physical footprint that includes 1,008 branches, 1,436 ATMs, 169 cash-recycling machines, and 99 ultra-small branches.",Relevant,"Directly lists branches, ATMs, and other outlets as of December 2025."
359,"What products and services does Jammu & Kashmir Bank offer, and which customer segments does it serve?","1. **Starting Entity:** The Jammu & Kashmir Bank Limited; **Ending Entities:** Universal Banking, India, NSE, Banking, and J&KBANK (among others).

2. **Explanation:** The Jammu & Kashmir Bank Limited is a publicly listed banking institution headquartered in India, operating within the universal banking sector and traded on the NSE under the ticker J&KBANK. 

3. **Numerical Facts:** The bank was founded in 1938.",Not relevant,"Gives listing/ticker info but does not describe products, services, or customer segments."
360,What is Dhanlaxmi Bank's ticker symbol and on which exchange(s) does it trade?,"1. **Starting Entity and Ending Entity:** The starting entity is **Dhanlaxmi Bank Limited**, and the ending entities are its various operational, financial, and stakeholder attributes (such as **Q1 FY27 net profit**, **branches/ATMs**, and **shareholders**).

2. **Simple Business/Financial Explanation:** Dhanlaxmi Bank Limited, headquartered in Kerala and led by MD & CEO Ajith Kumar K.K., operates a smaller-scale banking franchise with 264 branches and 285 ATMs while facing intense regional competition. Despite historical governance challenges, the bank has shown recovery under new management, highlighted by improving asset quality and a doubled net profit.

3. **Important Numerical Facts:** In Q1 FY27, Dhanlaxmi Bank Limited reported a net profit of ₹24.9 crore on a total income of ₹484.25 crore, with interest income reaching ₹449 crore and total business crossing ₹35,000 crore. Its gross NPA improved sharply to 1.82%, while ownership stakes included 3.74% held by Ares Diversified, 3.38% by Ayushmat Ltd, and roughly 15.31% by FIIs.",Not relevant,Covers financial and ownership metrics but never states the ticker symbol or exchange.
361,"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Dhanlaxmi Bank?","1. **Starting Entity:** Dhanlaxmi Bank Limited | **Ending Entity:** India (along with various corporate attributes like NSE, BSE, and Universal Banking).
2. **Business Summary:** Dhanlaxmi Bank Limited is a publicly listed, widely-held universal bank incorporated in India on November 14, 1927, and regulated by the RBI and SEBI. 
3. **Numerical Facts:** The bank was incorporated on November 14, 1927.
4. **Additional Details:** It operates under the ticker ""DHANBANK"" with listings on both the NSE and BSE stock exchanges.",Not relevant,Gives incorporation date and ticker info but never names the MD & CEO.
362,"What percentage of Dhanlaxmi Bank is held by its government promoter or largest shareholder, and as of what date?","1. **Starting Entity:** Dhanlaxmi Bank Limited (along with its various attributes from the knowledge graph).  
   **Ending Entity:** Various financial, operational, and regulatory attributes associated with Dhanlaxmi Bank Limited.

2. **Explanation:** Dhanlaxmi Bank Limited is a Kerala-headquartered, universally licensed bank led by MD & CEO Ajith Kumar K.K. and regulated by both the RBI and SEBI. Financially, the bank reported a Q1 FY27 total income of ₹484.25 crore—including ₹449 crore in interest income—and saw its net profit double year-on-year to ₹24.9 crore. Operationally, it maintains a network of 264 branches and 285 ATMs, while facing intense regional competition alongside improving asset quality and profitability.",Not relevant,Describes leadership and financials but never states a specific shareholder percentage or date.
363,What was Dhanlaxmi Bank's CASA ratio in the most recently reported quarter?,"Based on the knowledge graph path provided, the starting entity is Dhanlaxmi Bank Limited, which connects to its branch network as the ending context. In simple terms, Dhanlaxmi Bank Limited operates a total of 264 branches. This reflects the physical operational footprint of the institution based on the maximum quantitative data available in the query.",Not relevant,Gives branch count instead of the requested CASA ratio.
364,What is Dhanlaxmi Bank's net interest margin (NIM) for the latest reported period?,"1. **Starting Entity:** Dhanlaxmi Bank Limited; **Ending Entities:** Various financial, operational, and ownership attributes (such as Q1 FY27 net profit, branch count, and shareholder stakes).

2. In Q1 FY27, Dhanlaxmi Bank Limited demonstrated financial recovery—doubling its net profit year-on-year to ₹24.9 crore on a total income of ₹484.25 crore—while operating 264 branches and 285 ATMs. 

3. The bank's gross NPA improved sharply to 1.82% (down from 3.22%), and it maintains notable institutional backing, with foreign institutional investors (FIIs) holding a 15.31% stake alongside ownership from Ares Diversified (3.74%) and Ayushmat Ltd (3.38%).",Not relevant,"Covers profit, branch count and ownership but never states the NIM figure."
365,What are Dhanlaxmi Bank's gross NPA and net NPA ratios?,"1. **Starting Entity:** Dhanlaxmi Bank Limited (along with its various operational, financial, and stakeholder metrics); **Ending Entity:** Various specific outcomes, including its Q1 FY27 net profit, asset quality improvements, and governance/scale challenges.

2. **Summary:** Dhanlaxmi Bank Limited, led by MD & CEO Ajith Kumar K.K. and headquartered in Kerala, operates a sub-scale franchise of 264 branches and 285 ATMs while facing intense competition from regional peers like CSB Bank, South Indian Bank, and Federal Bank. Despite historical governance disputes and operational risks, the bank has shown recovery under new management, evidenced by improved asset quality and profitability. 

3. **Numerical Facts:** In Q1 FY27, Dhanlaxmi Bank Limited recorded a net profit of ₹24.9 crore, total income of ₹484.25 crore (including ₹449 crore in interest income), and total business crossing ₹35,000 crore. Its gross NPA improved to 1.82%, and ownership stakes include Ares Diversified at 3.74%, Ayushmat Ltd at 3.38%, and FIIs at roughly 15.31%.",Somewhat relevant,Gives the gross NPA figure (1.82%) but omits the net NPA ratio.
366,"What is Dhanlaxmi Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","1. **Starting Entity:** Dhanlaxmi Bank Limited; **Ending Entity:** Q1 FY27 Net Profit (₹24.9 crore).

2. **Path Summary:** Dhanlaxmi Bank Limited demonstrated strong financial recovery in Q1 FY27 under new leadership, successfully doubling its net profit year-on-year. 

3. **Numerical Facts:** During this quarter, the bank's net profit reached ₹24.9 crore, supported by a total income of ₹484.25 crore and interest income of ₹449 crore, while its gross NPA significantly improved to 1.82% from 3.22%.",Not relevant,Focuses on net profit figures and never states the CRAR or CET1 ratio.
367,What are Dhanlaxmi Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"1. **Starting Entity and Ending Entity:** The starting entity is **Dhanlaxmi Bank Limited**, and the ending entities include various financial metrics, operational details, and stakeholders associated with the bank (such as its Q1 FY27 net profit, ownership stakes, and branch count).

2. **Business/Financial Summary:** Dhanlaxmi Bank Limited operates as a universal bank headquartered in Kerala, led by MD & CEO Ajith Kumar K.K., and faces competition from peers like CSB Bank, South Indian Bank, and Federal Bank. Financially, the bank showed positive momentum in Q1 FY27 with a doubled net profit of ₹24.9 crore and a sharp improvement in gross NPA to 1.82%, though it continues to manage operational risks tied to its smaller scale of 264 branches and 285 ATMs. 

3. **Important Numerical Facts:** In Q1 FY27, Dhanlaxmi Bank Limited recorded a total income of ₹484.25 crore, interest income of ₹449 crore, and a net profit of ₹24.9 crore. Its gross NPA improved to 1.82% from 3.22%, total business crossed ₹35,000 crore, and it operates 264 branches alongside 285 ATMs, with ownership stakes held by Ares Diversified (3.74%), Ayushmat Ltd (3.38%), and FIIs (~15.31%).",Not relevant,Covers various financial metrics but never states ROA or ROE.
368,What was Dhanlaxmi Bank's total advances (loan book) and deposit growth in the latest quarter?,"Based on the provided knowledge graph data, the starting entity is **Dhanlaxmi Bank Limited** and the ending entity is its financial performance metric for Q1 FY27, specifically its **net profit**. 

Dhanlaxmi Bank Limited, led by MD & CEO Ajith Kumar K.K. and operating with 264 branches and 285 ATMs, showed notable financial improvement under new management. Most notably, the bank's net profit doubled year-on-year to ₹24.9 crore in Q1 FY27, alongside a total income of ₹484.25 crore and an improved gross NPA of 1.82%.",Not relevant,Gives net profit details but no advances or deposit growth figures.
369,"What credit ratings has Dhanlaxmi Bank received, and from which rating agencies?","Based on the provided knowledge graph path, the starting entity is **Dhanlaxmi Bank Limited** and the ending entity is a **BBB- Stable rating**. In simple financial terms, the bank's bonds had their creditworthiness officially reaffirmed at a BBB- rating with a stable outlook by a rating agency.",Somewhat relevant,States a BBB- Stable rating but does not name the issuing rating agency.
370,"Roughly how many branches and ATMs does Dhanlaxmi Bank operate, and as of what date?","Based on the provided knowledge graph path, the starting entity is Dhanlaxmi Bank Limited and the ending entity is its physical banking infrastructure (branches and ATMs). Dhanlaxmi Bank Limited operates a total of 264 branches and 285 automated teller machines (ATMs). This quantitative count highlights the physical retail footprint of the bank.",Somewhat relevant,Gives branch and ATM counts but omits the as-of date requested.
371,"What products and services does Dhanlaxmi Bank offer, and which customer segments does it serve?","**Summary:**

1. **Starting and Ending Entities:** The starting entity is Dhanlaxmi Bank Limited, and the ending entities include its operational, geographic, and market attributes (such as Universal Banking, India, NSE/BSE, and DHANBANK).
2. **Business Explanation:** Dhanlaxmi Bank Limited is a publicly listed, RBI- and SEBI-regulated banking institution originating from Kerala, India, operating under a universal banking license. 
3. **Numerical Facts:** The bank was originally incorporated on November 14, 1927, and later renamed in 2010.",Not relevant,"Covers listing and incorporation details but not products, services, or customer segments."
372,What is IDBI Bank's ticker symbol and on which exchange(s) does it trade?,"1. **Starting Entity:** IDBI Bank Limited (along with its parent/stakeholder entities)  
   **Ending Entity:** IDBI Bank Limited's financial metrics and operational profile (such as deposits, net profit, and subsidiaries).

2. **Explanation of Path:** The knowledge graph details IDBI Bank Limited's major stakeholders—including the Government of India (holding 45.48-45.50%) and LIC (holding 49.24%)—along with its regulatory environment, leadership, branch network, and subsidiary structure like IDBI Capital Markets. It also outlines the bank's universal banking operations across retail, MSME, and corporate segments.

3. **Numerical Facts:** In FY24-25, IDBI Bank reported deposits of ₹309,975 crore, advances of ₹218,399 crore, a net profit of ₹7,515 crore, a gross NPA of 2.98%, a return on assets of 1.82%, and a return on equity of 16.10%. Additionally, the bank operates between 1,890 and 2,104 branches and 3,300 to 3,700 ATMs.",Not relevant,Covers ownership and financial metrics but never states the ticker symbol or exchange.
373,"Who is the current MD & CEO (or Chairman, where that is the top executive title) of IDBI Bank?","**Summary:**

1. **Starting and Ending Entities:** The starting entity is **IDBI Bank Limited**, and the ending entities include its various attributes such as **Universal Banking**, **India**, **NSE, BSE**, and **Banking**.
2. **Business Explanation:** IDBI Bank Limited is a publicly listed private-sector bank headquartered in India that operates within the banking sector under a universal banking model, offering retail, corporate, and agricultural services. 
3. **Numerical Facts:** Founded on **1 July 1964**, the bank was reclassified as a private-sector bank by the RBI in **2019** and is traded on stock exchanges under the ticker **IDBI**.",Not relevant,Gives founding date and ticker but never names the MD & CEO.
374,"What percentage of IDBI Bank is held by its government promoter or largest shareholder, and as of what date?","Based on the provided knowledge graph path, here is the financial summary:

1. **Starting and Ending Entities:** The starting and ending entity is **IDBI Bank Limited** (functioning as the central subject across all connected relationship patterns).
2. **Business/Financial Summary:** IDBI Bank Limited is a universal bank that provides comprehensive retail, corporate, MSME, agricultural, and investment banking services through its subsidiary, IDBI Capital Markets. The bank is currently undergoing a strategic disinvestment and ownership transition, with major stakes held by LIC (49.24%) and the Government of India (45.48-45.50%), while being regulated by key bodies like the RBI, SEBI, and DIPAM. 
3. **Numerical Facts:** For FY24-25, IDBI Bank reported deposits of ₹309,975 crore, advances of ₹218,399 crore, a net profit of ₹7,515 crore, a gross NPA of 2.98%, a return on assets (RoA) of 1.82%, and a return on equity (RoE) of 16.10%. Additionally, the bank operates between 1,890 and 2,104 branches and uses 3,300 to 3,700 ATMs.",Somewhat relevant,Gives LIC and Government of India ownership percentages but omits the specific as-of date.
375,What was IDBI Bank's CASA ratio in the most recently reported quarter?,"Based on the provided knowledge graph path, the starting entity is **IDBI Bank Limited** and the ending entity is **treasury business services**. In simple business terms, IDBI Bank Limited provides and engages in treasury business services as part of its operations. There are no specific numerical facts present in this relationship path.",Not relevant,Mentions treasury business services instead of the requested CASA ratio.
376,What is IDBI Bank's net interest margin (NIM) for the latest reported period?,"**Summary:**

1. **Starting and Ending Entities:** The starting entity is **IDBI Bank Limited**, and the ending entities include its various financial metrics, operational footprints, and regulatory stakeholders (such as LIC and the Government of India).
2. **Business/Financial Explanation:** IDBI Bank Limited operates as a universal bank—offering retail, corporate, agricultural, and MSME services—while undergoing a strategic disinvestment and ownership transition regulated by bodies like the RBI. Its leadership includes MD & CEO Rakesh Sharma and Chairman T. N. Manoharan, and it manages operations through an extensive network of branches and ATMs while holding a subsidiary, IDBI Capital Markets.
3. **Numerical Facts:** For FY24-25, IDBI Bank reported a net profit of ₹7,515 crore, deposits of ₹309,975 crore, and advances of ₹218,399 crore, alongside a return on assets of 1.82%, a return on equity of 16.10%, and an improved gross NPA of 2.98%. Additionally, the bank's ownership structure includes a 49.24% stake held by LIC and a 45.48–45.50% stake held by the Government of India.",Not relevant,"Covers profit, deposits and ownership but never states the NIM figure."
377,What are IDBI Bank's gross NPA and net NPA ratios?,"1. **Starting Entity:** IDBI Bank Limited; **Ending Entity:** IDBI Capital Markets (its subsidiary).
2. **Path Explanation:** IDBI Bank Limited operates as a universal bank providing various financial services and acts as the parent organization to its subsidiary, IDBI Capital Markets, through which it offers investment banking services.
3. **Numerical Facts:** The provided data does not contain direct numerical facts connecting the parent bank to this specific subsidiary relationship.",Not relevant,"Focuses on the IDBI Capital Markets subsidiary relationship, not gross/net NPA figures."
378,"What is IDBI Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","1. **Starting and Ending Entities:** The starting entity is **IDBI Bank Limited**, and the ending entities include its key financial metrics and operational figures for FY24-25 (such as a net profit of ₹7,515 crore and deposits of ₹309,975 crore).

2. **Simple Business/Financial Summary:** IDBI Bank Limited, a universal bank led by MD & CEO Rakesh Sharma and regulated by authorities like the RBI, operates a network of 1,890 to 2,104 branches and 3,300 to 3,700 ATMs. During FY24-25, the bank achieved a net profit of ₹7,515 crore, supported by deposits reaching ₹309,975 crore and advances totaling ₹218,399 crore. Additionally, the bank reported a strong return on equity of 16.10% and an improved gross NPA of 2.98% for the fiscal year.",Not relevant,Covers profit and deposit metrics but never states the CRAR or CET1 ratio.
379,What are IDBI Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"1. **Starting Entity:** IDBI Bank Limited (along with its parent/stakeholder entities)  
   **Ending Entity:** IDBI Capital Markets (its investment banking subsidiary) and various financial/operational metrics.

2. **Summary:**  
   IDBI Bank Limited operates as a universal bank—backed significantly by LIC (holding 49.24%) and the Government of India (holding 45.48–45.50%)—and is currently navigating a strategic disinvestment and ownership transition. Financially, the bank reported a robust net profit of ₹7,515 crore, deposits of ₹309,975 crore, and advances of ₹218,399 crore for FY24-25, alongside an improved gross NPA of 2.98%. Additionally, the bank extends its financial services through its wholly-owned subsidiary, IDBI Capital Markets, which provides investment banking.",Not relevant,"Covers profit, deposits, and subsidiary details but never states ROA or ROE."
380,What was IDBI Bank's total advances (loan book) and deposit growth in the latest quarter?,"Based on the provided knowledge graph data, the starting entity is **IDBI Bank Limited** and the ending entities are its various financial and operational metrics, such as **FY24-25 deposits (₹309,975 crore)**, **net profit (₹7,515 crore)**, and **gross NPA (2.98%)**. 

IDBI Bank Limited is a universal bank regulated by authorities like the RBI and SEBI, with major shareholdings held by LIC (49.24%) and the Government of India (45.48-45.50%). For the financial year FY24-25, the bank reported advances reaching ₹218,399 crore, a return on assets of 1.82%, and a return on equity of 16.10%. Additionally, the bank operates between 1,890 and 2,104 branches and utilizes 3,300 to 3,700 ATMs to support its universal banking services across retail, corporate, and MSME segments.",Somewhat relevant,Gives absolute advances and deposit figures but not the growth rates asked for.
381,"What credit ratings has IDBI Bank received, and from which rating agencies?","1. **Starting Entity:** IDBI Bank Limited; **Ending Entities:** Universal Banking, India, Mumbai, NSE, BSE, Banking, etc.

2. **Explanation:** IDBI Bank Limited is a publicly listed private-sector bank in India—traded on the NSE and BSE under the ticker IDBI—that operates within the banking sector and focuses on a universal banking segment. 

3. **Numerical Facts:** The bank was founded on July 1, 1964.",Not relevant,Covers listing and founding details but never mentions any credit rating or agency.
382,"Roughly how many branches and ATMs does IDBI Bank operate, and as of what date?","The starting entity is **IDBI Bank Limited**, and the ending entity is its **operational infrastructure and growth strategy**. IDBI Bank Limited operates between 1,890 and 2,104 branches and uses between 3,300 and 3,700 ATMs. Furthermore, the bank's future growth is expected to come from the continued expansion of this branch network.",Somewhat relevant,Gives branch and ATM ranges but omits the specific as-of date.
383,"What products and services does IDBI Bank offer, and which customer segments does it serve?","1. **Starting Entity:** IDBI Bank Limited; **Ending Entities:** Universal Banking, India, Mumbai (headquarters), NSE/BSE (exchanges), and Banking (sector).

2. **Explanation:** IDBI Bank Limited is a publicly listed Indian private-sector bank headquartered in Mumbai, operating within the banking sector and traded on the NSE and BSE under the ticker IDBI. 

3. **Numerical Facts:** The bank was founded on July 1, 1964, and was reclassified as a private-sector bank by the RBI in 2019.",Not relevant,"Gives generic listing/HQ info but not specific products, services, or customer segments."
384,What is AU Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,"Based on the provided knowledge graph data, the starting entity is **AU Small Finance Bank Limited** and the ending entity is **ICRA** (via the entity rating relationship). 

AU Small Finance Bank Limited holds an **AA Stable** long-term entity rating, which was reaffirmed by the rating agency **ICRA** on **27 February 2026**. Additionally, ICRA noted the bank's strong historical growth, highlighting roughly **30% compound annual growth** in its gross loan portfolio between FY20 and FY25.",Not relevant,Covers the ICRA rating and loan growth but never states the ticker symbol or exchange.
385,"Who is the current MD & CEO (or Chairman, where that is the top executive title) of AU Small Finance Bank?","Based on the provided knowledge graph path, the starting entity is Sanjay Agarwal and the ending entity is AU Small Finance Bank Limited. Sanjay Agarwal holds the leadership position of Managing Director and Chief Executive Officer (MD & CEO) at the institution.",Relevant,Directly names Sanjay Agarwal as MD & CEO of AU Small Finance Bank.
386,"What percentage of AU Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","1. **Starting and Ending Entities:** The starting entity is **AU Small Finance Bank Limited**, and the ending entities comprise its various financial metrics, ownership stakes, and regulatory/operational attributes (such as the RBI, ICRA, and financial results for Q1 FY27).

2. **Simple Business/Financial Summary:** AU Small Finance Bank Limited is a regulated financial institution that reported strong Q1 FY27 results, including a profit after tax of ₹795.95 crore (up 37% year-on-year) and net interest income of ₹2,695 crore. The bank maintains a solid capital position with a CET1 ratio of 17.1% and a capital adequacy ratio of 18.9%, alongside key institutional and promoter shareholdings as of mid-2025 and early 2026. Additionally, the bank holds an AA Stable rating from ICRA and has received in-principle approval from the RBI to transition into a full universal bank. 

3. **Important Numerical Facts:** 
   - Q1 FY27 profit after tax: ₹795.95 crore (up 37% YoY).
   - Q1 FY27 net interest income: ₹2,695 crore (up 32% YoY).
   - Capital metrics: CET1 of 17.1% and capital adequacy of 18.9%.
   - Asset quality: Gross NPA of 2.10% and Net NPA of 0.76%.
   - Ownership: Promoter family stake of 22.76% as of March 31, 2026.",Relevant,"Directly gives the 22.76% promoter family stake as of March 31, 2026."
387,What was AU Small Finance Bank's CASA ratio in the most recently reported quarter?,"1. **Starting Entity:** Foreign portfolio investors; **Ending Entity:** AU Small Finance Bank Limited.
2. Foreign portfolio investors held a significant equity stake in AU Small Finance Bank Limited. 
3. As of June 2025, this holding accounted for roughly 37.68% of the bank overall.",Not relevant,Gives FPI holding percentage instead of the requested CASA ratio.
388,What is AU Small Finance Bank's net interest margin (NIM) for the latest reported period?,"Based on the provided knowledge graph data, the starting entity is **AU Small Finance Bank Limited** and the ending entities/metrics relate to its financial performance and strategic position. AU Small Finance Bank reported a strong Q1 FY27 profit after tax of ₹795.95 crore, representing a 37% year-on-year increase alongside a net interest income of ₹2,695 crore. Furthermore, the bank maintains a solid capital adequacy ratio of 18.9% with a CET1 of 17.1%, and received in-principle RBI approval in August 2025 to transition into a full universal bank.",Not relevant,"Covers profit, NII, and capital ratios but never states the NIM figure."
389,What are AU Small Finance Bank's gross NPA and net NPA ratios?,"Based on the provided knowledge graph data, the starting entity is **AU Small Finance Bank Limited** and the ending entities include various financial metrics, ownership stakes, and regulatory milestones as of Q1 FY27. 

In simple financial terms, AU Small Finance Bank demonstrated strong performance in Q1 FY27, reporting a 37% year-on-year increase in profit after tax to ₹795.95 crore and a 32% rise in net interest income to ₹2,695 crore. The institution maintains solid financial health with a capital adequacy ratio of 18.9%, a CET1 of 17.1%, and improved asset quality featuring a gross NPA of 2.10% and net NPA of 0.76%. Furthermore, the bank received in-principle RBI approval on August 7, 2025, to transition into a full universal bank.",Relevant,Directly states gross NPA (2.10%) and net NPA (0.76%).
390,"What is AU Small Finance Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Based on the provided knowledge graph data, the starting entity is **AU Small Finance Bank Limited** and the ending entity involves its **Q1 FY27 Financial Performance**. 

In simple financial terms, AU Small Finance Bank Limited demonstrated strong growth in the first quarter of fiscal year 2027, reporting a profit after tax of ₹795.95 crore—a 37% year-on-year increase. During the same period, the bank achieved a net interest income of ₹2,695 crore (up 32% year-on-year), gross advances of ₹1,44,250 crore, and total deposits of ₹1,57,727 crore.",Not relevant,"Covers profit, advances, and deposits but never states the CRAR or CET1 ratio in this summary."
391,What are AU Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Based on the provided knowledge graph data, the starting entity is **AU Small Finance Bank Limited** and the ending entity is its **Q1 FY27 financial performance**. 

In simple business terms, AU Small Finance Bank Limited demonstrated strong financial growth by reporting a profit after tax of ₹795.95 crore—up 37% year-on-year—alongside a net interest income of ₹2,695 crore for Q1 FY27. Additionally, the bank maintained solid operational metrics during this period, including total deposits of ₹1,57,727 crore, gross advances of ₹1,44,250 crore, a CASA ratio of roughly 29%, and a net interest margin of 5.9%.",Not relevant,"Covers deposits, advances, CASA and NIM but never states ROA or ROE."
392,What was AU Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,"**Starting Entity:** AU Small Finance Bank Limited  
**Ending Entity:** AU Small Finance Bank Limited's Financial Performance and Operations (Q1 FY27 / Market Position)

**Summary:**
AU Small Finance Bank Limited demonstrated strong financial performance in Q1 FY27, reporting a profit after tax of ₹795.95 crore (up 37% year-on-year) and net interest income of ₹2,695 crore. The institution maintains robust capital and asset health, highlighted by a CET1 ratio of 17.1%, gross advances of ₹1,44,250 crore, and an improved gross NPA of 2.10%. Additionally, the bank holds an AA Stable rating from ICRA and received RBI in-principle approval in August 2025 to transition into a full universal bank.",Somewhat relevant,Gives gross advances but not deposit figures or explicit growth rates as asked.
393,"What credit ratings has AU Small Finance Bank received, and from which rating agencies?","**Starting Entity:** AU Small Finance Bank  
**Ending Entity:** ICRA  

**Summary:**  
AU Small Finance Bank holds an AA Stable long-term entity rating that has been reaffirmed by the credit rating agency ICRA. This rating reflects the bank's established financial stability and creditworthiness within the financial sector.",Relevant,Directly states the AA Stable rating reaffirmed by ICRA.
