query,gold_label,predicted_template,template_confidence,template_id,template_match,entities,resolved_entities,masked_query,cypher_parameters,cypher_strategy,kg_row_count,kg_hop_path,summary,error
Does a weaker rupee help or hurt Reliance Industries?,T_MacroTransmission,T_MacroTransmission,0.9410815238952637,macro_transmission_to_company,True,"[""Reliance Industries""]","[{""entity"": ""Reliance Industries"", ""matched_node_name"": ""Reliance Industries"", ""matched_id"": ""C_RIL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Does a weaker rupee help or hurt <COMPANY>?,"{""entity_id"": ""C_RIL""}",single_entity,1,"Template: macro_transmission_to_company (T_MacroTransmission)
Query intent: How a macro variable transmits to a company through the graph.

Path 1: India AI infrastructure capex cycle -> Reliance Industries (1 hops)
  India AI infrastructure capex cycle -[BENEFITS_FROM]-> Reliance Industries",,
Does KKR have exposure to Indian Power & Utilities?,T_InvestmentFlow,T_InvestmentFlow,0.9463990926742554,investment_into_entity,True,"[""India"", ""Power & Utilities""]","[{""entity"": ""India"", ""matched_node_name"": ""India"", ""matched_id"": ""G_INDIA"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Power & Utilities"", ""matched_node_name"": ""Power & Utilities"", ""matched_id"": ""S_POWER"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Does KKR have exposure to <GEOGRAPHY>n <SECTOR>?,"{""target_id"": ""S_POWER""}",,0,,,
Who is the parent of State Bank of India?,T_OwnershipStructure,T_OwnershipStructure,0.9769895076751709,ownership_structure,True,"[""State Bank of India""]","[{""entity"": ""State Bank of India"", ""matched_node_name"": ""State Bank of India"", ""matched_id"": ""C_SBIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Who is the parent of <COMPANY>?,"{""entity_id"": ""C_SBIN""}",sector_peers,1,"Template: ownership_structure (T_OwnershipStructure)
Query intent: Corporate ownership, subsidiaries, and JV structure.

Row 1: sector_name=Banks & NBFCs | child_name=State Bank of India",,
How does grid evacuation limit Shriram Finance?,T_ConstraintRisk,T_ConstraintRisk,0.9749539494514465,constraint_risk_for_entity,True,"[""Shriram Finance""]","[{""entity"": ""Shriram Finance"", ""matched_node_name"": ""Shriram Finance"", ""matched_id"": ""C_SHRIRAMFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How does grid evacuation limit <COMPANY>?,"{""entity_id"": ""C_SHRIRAMFIN""}",single_entity,1,"Template: constraint_risk_for_entity (T_ConstraintRisk)
Query intent: Physical or supply bottlenecks constraining an entity or sector.

Row 1: entity_name=Shriram Finance | relationship=HURT_BY | constraint_name=Brent crude price | constraint_type=MACRO_VAR",,
Does Bharat Electronics hedge urea price volatility?,T_Hedging,T_Hedging,0.9550026655197144,company_hedging_exposure,True,"[""Bharat Electronics"", ""urea"", ""urea price""]","[{""entity"": ""Bharat Electronics"", ""matched_node_name"": ""Bharat Electronics"", ""matched_id"": ""C_BEL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""urea"", ""matched_node_name"": ""Urea"", ""matched_id"": ""RM_UREA"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""urea price"", ""matched_node_name"": ""Global urea/DAP/sulphur price"", ""matched_id"": ""M_UREA"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",Does <COMPANY> hedge <MACRO_VAR> volatility?,"{""source_id"": ""C_BEL""}",company_exposure,1,"Template: company_hedging_exposure (T_Hedging)
Query intent: Natural or financial hedges used by a company.

Row 1: company_name=Bharat Electronics | relationship=BENEFITS_FROM | linked_name=Strait of Hormuz disruption | linked_type=EVENT",,
List subsidiaries under SpiceJet.,T_OwnershipStructure,T_OwnershipStructure,0.9627856612205505,ownership_structure,True,"[""SpiceJet""]","[{""entity"": ""SpiceJet"", ""matched_node_name"": ""SpiceJet"", ""matched_id"": ""C_SPICEJET"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",List subsidiaries under <COMPANY>.,"{""entity_id"": ""C_SPICEJET""}",sector_peers,1,"Template: ownership_structure (T_OwnershipStructure)
Query intent: Corporate ownership, subsidiaries, and JV structure.

Row 1: sector_name=Aviation | child_name=SpiceJet",,
Stress test Reliance Industries for prolonged crude price rally.,T_EventScenario,T_EventScenario,0.9123196005821228,event_scenario_impact,True,"[""Reliance Industries"", ""crude price rally""]","[{""entity"": ""Reliance Industries"", ""matched_node_name"": ""Reliance Industries"", ""matched_id"": ""C_RIL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""crude price rally"", ""matched_node_name"": ""Brent crude price"", ""matched_id"": ""M_BRENT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",Stress test <COMPANY> for prolonged <MACRO_VAR>.,"{""source_id"": ""M_BRENT""}",primary,2,"Template: event_scenario_impact (T_EventScenario)
Query intent: Downstream macro and company impact from an event scenario.

Row 1: event_name=Brent crude price | relationship=CAUSES | impacted_name=Current account deficit | impacted_type=MACRO_VAR
Row 2: event_name=Brent crude price | relationship=CAUSES | impacted_name=India CPI | impacted_type=MACRO_VAR",,
Show ownership map for SpiceJet.,T_OwnershipStructure,T_OwnershipStructure,0.9732052683830261,ownership_structure,True,"[""SpiceJet""]","[{""entity"": ""SpiceJet"", ""matched_node_name"": ""SpiceJet"", ""matched_id"": ""C_SPICEJET"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Show ownership map for <COMPANY>.,"{""entity_id"": ""C_SPICEJET""}",sector_peers,1,"Template: ownership_structure (T_OwnershipStructure)
Query intent: Corporate ownership, subsidiaries, and JV structure.

Row 1: sector_name=Aviation | child_name=SpiceJet",,
What FII flows affect Asian Paints?,T_InvestmentFlow,T_InvestmentFlow,0.9767444729804993,investment_into_entity,True,"[""Asian Paints""]","[{""entity"": ""Asian Paints"", ""matched_node_name"": ""Asian Paints"", ""matched_id"": ""C_ASIANPAINT"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What FII flows affect <COMPANY>?,"{""entity_id"": ""C_ASIANPAINT""}",,0,,,
What risk mitigants does Bajaj Finance use for tanker freight surge?,T_Hedging,T_Hedging,0.9699208736419678,company_hedging_exposure,True,"[""Bajaj Finance"", ""tanker freight surge""]","[{""entity"": ""Bajaj Finance"", ""matched_node_name"": ""Bajaj Finance"", ""matched_id"": ""C_BAJFINANCE"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""tanker freight surge"", ""matched_node_name"": ""Tanker freight rates"", ""matched_id"": ""M_FREIGHT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",What risk mitigants does <COMPANY> use for <MACRO_VAR>?,"{""source_id"": ""C_BAJFINANCE""}",company_hurt_by,1,"Template: company_hedging_exposure (T_Hedging)
Query intent: Natural or financial hedges used by a company.

Row 1: company_name=Bajaj Finance | risk_name=RBI policy rate | risk_type=MACRO_VAR",,
Who is more hurt by Brent rally: Bharat Electronics or Tata Motors?,T_CompareExposure,T_CompareExposure,0.9748243093490601,compare_entity_exposure,True,"[""Bharat Electronics"", ""Tata Motors"", ""Brent""]","[{""entity"": ""Bharat Electronics"", ""matched_node_name"": ""Bharat Electronics"", ""matched_id"": ""C_BEL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Tata Motors"", ""matched_node_name"": ""Tata Motors"", ""matched_id"": ""C_TATAMOTORS"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Brent"", ""matched_node_name"": ""Brent crude price"", ""matched_id"": ""M_BRENT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.6353015899658203, ""source"": ""semantic""}]",Who is more hurt by <MACRO_VAR> rally: <COMPANY> or <COMPANY>?,"{""source_id"": ""C_BEL"", ""target_id"": ""C_TATAMOTORS"", ""shock_id"": ""M_BRENT""}",primary,1,"Template: compare_entity_exposure (T_CompareExposure)
Query intent: Compare hop distance / exposure paths of two companies to the same shock.

Row 1: company_a=Bharat Electronics | company_b=Tata Motors | shock_name=Brent crude price | hops_a=2 | hops_b=1 | path_a=['Bharat Electronics', 'Strait of Hormuz disruption', 'Brent crude price'] | path_b=['Tata Motors', 'Brent crude price']",,
How does Gulf producers disruption cause changes in INR depreciation?,T_CausalChain,T_CausalChain,0.9615576863288879,causal_chain_path,True,"[""Gulf producers"", ""INR depreciation""]","[{""entity"": ""Gulf producers"", ""matched_node_name"": ""Gulf producers"", ""matched_id"": ""G_GCC"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""INR depreciation"", ""matched_node_name"": ""USD/INR"", ""matched_id"": ""M_INR"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",How does <GEOGRAPHY> disruption cause changes in <MACRO_VAR>?,"{""source_id"": ""G_GCC"", ""target_id"": ""M_INR""}",any_path,1,"Template: causal_chain_path (T_CausalChain)
Query intent: Trace causal transmission between two entities through typed edges.

Path 1: Gulf producers -> USD/INR (4 hops)
  Gulf producers -[EXPOSED_TO_ORDERBOOK]-> Larsen & Toubro
  Larsen & Toubro -[HEDGES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HEDGES]-> Federal Bank
  Federal Bank -[BENEFITS_FROM]-> USD/INR",,
How does rerouting via Cape affect Tata Power?,T_TransitRisk,T_TransitRisk,0.9334170818328857,transit_risk_via_chokepoint,True,"[""Tata Power"", ""Cape""]","[{""entity"": ""Tata Power"", ""matched_node_name"": ""Tata Power"", ""matched_id"": ""C_TATAPOWER"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Cape"", ""matched_node_name"": ""Cape of Good Hope reroute"", ""matched_id"": ""G_CAPE"", ""matched_type"": ""GEOGRAPHY"", ""similarity"": 0.6432578563690186, ""source"": ""semantic""}]",How does rerouting via <GEOGRAPHY> affect <COMPANY>?,"{""target_id"": ""G_CAPE"", ""commodity_id"": null}",,0,,,
List subsidiaries under Netweb Technologies.,T_OwnershipStructure,T_OwnershipStructure,0.9627856612205505,ownership_structure,True,"[""Netweb Technologies""]","[{""entity"": ""Netweb Technologies"", ""matched_node_name"": ""Netweb Technologies"", ""matched_id"": ""C_NETWEB"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",List subsidiaries under <COMPANY>.,"{""entity_id"": ""C_NETWEB""}",sector_peers,1,"Template: ownership_structure (T_OwnershipStructure)
Query intent: Corporate ownership, subsidiaries, and JV structure.

Row 1: sector_name=EMS & Compute Hardware | child_name=Netweb Technologies",,
How does Brent crude price flow into Capital Goods valuations?,T_MacroTransmission,T_PriceLinkage,0.6023545861244202,price_linkage,False,"[""Brent crude price"", ""Capital Goods""]","[{""entity"": ""Brent crude price"", ""matched_node_name"": ""Brent crude price"", ""matched_id"": ""M_BRENT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Capital Goods"", ""matched_node_name"": ""Capital Goods & Electricals"", ""matched_id"": ""S_CAPGOODS"", ""matched_type"": ""SECTOR"", ""similarity"": 0.7297142744064331, ""source"": ""semantic""}]",How does <MACRO_VAR> flow into <SECTOR> valuations?,"{""source_id"": ""M_BRENT""}",primary,8,"Template: price_linkage (T_PriceLinkage)
Query intent: Price co-movement between a company/product and a macro or raw material.

Row 1: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=Naphtha | linked_type=RAW_MATERIAL
Row 2: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=Carbon black feedstock | linked_type=RAW_MATERIAL
Row 3: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=Base oil | linked_type=RAW_MATERIAL
Row 4: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=Synthetic rubber | linked_type=RAW_MATERIAL
Row 5: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=PVC resin | linked_type=RAW_MATERIAL
Row 6: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=Petroleum coke | linked_type=RAW_MATERIAL
Row 7: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=Liquid light paraffin | linked_type=RAW_MATERIAL
Row 8: entity_name=Brent crude price | entity_type=MACRO_VAR | relationship=PRICE_LINKED_TO | linked_name=Aviation turbine fuel | linked_type=PRODUCT",,
How does marine war-risk premium feed into Defence earnings?,T_CausalChain,T_CausalChain,0.7596455812454224,causal_chain_path,True,"[""marine war-risk premium"", ""Defence""]","[{""entity"": ""marine war-risk premium"", ""matched_node_name"": ""Marine war-risk premium"", ""matched_id"": ""M_WARRISK"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Defence"", ""matched_node_name"": ""Defence"", ""matched_id"": ""S_DEFENCE"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How does <MACRO_VAR> feed into <SECTOR> earnings?,"{""source_id"": ""M_WARRISK"", ""target_id"": ""S_DEFENCE""}",any_path,1,"Template: causal_chain_path (T_CausalChain)
Query intent: Trace causal transmission between two entities through typed edges.

Path 1: Marine war-risk premium -> Defence (3 hops)
  Marine war-risk premium -[CAUSES]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[BENEFITS_FROM]-> Bharat Electronics
  Bharat Electronics -[CONTAINS]-> Defence",,
Does Reliance Industries track USD/INR?,T_PriceLinkage,T_PriceLinkage,0.5834891200065613,price_linkage,True,"[""Reliance Industries"", ""USD/INR""]","[{""entity"": ""Reliance Industries"", ""matched_node_name"": ""Reliance Industries"", ""matched_id"": ""C_RIL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""USD/INR"", ""matched_node_name"": ""USD/INR"", ""matched_id"": ""M_INR"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Does <COMPANY> track <MACRO_VAR>?,"{""source_id"": ""C_RIL""}",company_exposure,1,"Template: price_linkage (T_PriceLinkage)
Query intent: Price co-movement between a company/product and a macro or raw material.

Row 1: entity_name=Reliance Industries | entity_type=COMPANY | relationship=BENEFITS_FROM | linked_name=India AI infrastructure capex cycle | linked_type=EVENT",,
What regulatory risk does Larsen & Toubro face in Refining?,T_RegulatoryImpact,T_RegulatoryImpact,0.9448854327201843,regulatory_impact,True,"[""Larsen & Toubro"", ""Refining""]","[{""entity"": ""Larsen & Toubro"", ""matched_node_name"": ""Larsen & Toubro"", ""matched_id"": ""C_LT"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Refining"", ""matched_node_name"": ""Gross refining margin"", ""matched_id"": ""M_GRM"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.6042213439941406, ""source"": ""semantic""}]",What regulatory risk does <COMPANY> face in <MACRO_VAR>?,"{""source_id"": ""C_LT""}",,0,,,
How is Great Eastern Shipping linked to fertiliser subsidy bill?,T_PriceLinkage,T_OwnershipStructure,0.44598710536956787,ownership_structure,False,"[""Great Eastern Shipping"", ""fertiliser subsidy bill""]","[{""entity"": ""Great Eastern Shipping"", ""matched_node_name"": ""Great Eastern Shipping"", ""matched_id"": ""C_GESHIP"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""fertiliser subsidy bill"", ""matched_node_name"": ""Fertiliser and LPG subsidy bill"", ""matched_id"": ""M_SUBSIDY"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",How is <COMPANY> linked to <MACRO_VAR>?,"{""source_id"": ""C_GESHIP""}",sector_peers,1,"Template: ownership_structure (T_OwnershipStructure)
Query intent: Corporate ownership, subsidiaries, and JV structure.

Row 1: sector_name=Shipping & Logistics | child_name=Great Eastern Shipping",,
Name beneficiaries in Refining from Hormuz disruption.,T_Beneficiary,T_SectorExposure,0.5671195983886719,sector_constituents,False,"[""Hormuz disruption"", ""Re""]","[{""entity"": ""Hormuz disruption"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""Re"", ""matched_node_name"": ""GIC Re"", ""matched_id"": ""C_GICRE"", ""matched_type"": ""COMPANY"", ""similarity"": 0.6136244535446167, ""source"": ""semantic""}]",Name beneficiaries in <COMPANY>fining from <EVENT>.,"{""source_id"": ""C_GICRE""}",company_sector,1,"Template: sector_constituents (T_SectorExposure)
Query intent: Sector membership and constituent companies exposed to a theme.

Row 1: sector_name=Banks & NBFCs | name=GIC Re | id=C_GICRE",,
Who are the major backers of SpiceJet?,T_InvestmentFlow,T_InvestmentFlow,0.9694263339042664,investment_into_entity,True,"[""SpiceJet""]","[{""entity"": ""SpiceJet"", ""matched_node_name"": ""SpiceJet"", ""matched_id"": ""C_SPICEJET"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Who are the major backers of <COMPANY>?,"{""entity_id"": ""C_SPICEJET""}",,0,,,
Who is the more defensive name: Indian Oil or Bharat Electronics?,T_CompareExposure,T_CompareExposure,0.9743471741676331,compare_entity_exposure,True,"[""Indian Oil"", ""Bharat Electronics""]","[{""entity"": ""Indian Oil"", ""matched_node_name"": ""Indian Oil"", ""matched_id"": ""C_IOC"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Bharat Electronics"", ""matched_node_name"": ""Bharat Electronics"", ""matched_id"": ""C_BEL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Who is the more defensive name: <COMPANY> or <COMPANY>?,"{""source_id"": ""C_IOC"", ""target_id"": ""C_BEL"", ""shock_id"": ""C_IOC""}",,0,,,"{code: Neo.DatabaseError.Statement.ExecutionFailed} {message: The shortest path algorithm does not work when the start and end nodes are the same. This can happen if you
perform a shortestPath search after a cartesian product that might have the same start and end nodes for some
of the rows passed to shortestPath. If you would rather not experience this exception, and can accept the
possibility of missing results for those rows, disable this in the Neo4j configuration by setting
`dbms.cypher.forbid_shortestpath_common_nodes` to false. If you cannot accept missing results, and really want the
shortestPath between two common nodes, then re-write the query using a standard Cypher variable length pattern
expression followed by ordering by path length and limiting to one result.}"
What power availability risk hits Shriram Finance?,T_ConstraintRisk,T_SupplyDisruption,0.40831226110458374,supply_chain_disruption,False,"[""power availability"", ""Shriram Finance""]","[{""entity"": ""power availability"", ""matched_node_name"": ""Power availability"", ""matched_id"": ""CN_POWER"", ""matched_type"": ""CONSTRAINT"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Shriram Finance"", ""matched_node_name"": ""Shriram Finance"", ""matched_id"": ""C_SHRIRAMFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What <CONSTRAINT> risk hits <COMPANY>?,"{""source_id"": ""C_SHRIRAMFIN""}",company_needs,1,"Template: supply_chain_disruption (T_SupplyDisruption)
Query intent: Input needs, sourcing geography, and supply-chain exposure.

Row 1: entity_name=Shriram Finance | relationship=HURT_BY | linked_name=Brent crude price | linked_type=MACRO_VAR",,
Which physical constraints bind Paints & Adhesives growth?,T_ConstraintRisk,T_ConstraintRisk,0.9786226153373718,constraint_risk_for_entity,True,"[""Paints & Adhesives""]","[{""entity"": ""Paints & Adhesives"", ""matched_node_name"": ""Paints & Adhesives"", ""matched_id"": ""S_PAINTS"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Which physical constraints bind <SECTOR> growth?,"{""entity_id"": ""S_PAINTS""}",single_entity,4,"Template: constraint_risk_for_entity (T_ConstraintRisk)
Query intent: Physical or supply bottlenecks constraining an entity or sector.

Row 1: entity_name=Asian Paints | constraint_name=Brent crude price | constraint_type=MACRO_VAR | sector_name=Paints & Adhesives
Row 2: entity_name=Berger Paints | constraint_name=Brent crude price | constraint_type=MACRO_VAR | sector_name=Paints & Adhesives
Row 3: entity_name=Indigo Paints | constraint_name=Brent crude price | constraint_type=MACRO_VAR | sector_name=Paints & Adhesives
Row 4: entity_name=Pidilite Industries | constraint_name=Vinyl acetate monomer | constraint_type=RAW_MATERIAL | sector_name=Paints & Adhesives",,
Explain hedging strategy of GAIL for India CPI.,T_Hedging,T_Hedging,0.9701224565505981,company_hedging_exposure,True,"[""India CPI""]","[{""entity"": ""India CPI"", ""matched_node_name"": ""India CPI"", ""matched_id"": ""M_CPI"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Explain hedging strategy of GAIL for <MACRO_VAR>.,"{""entity_id"": ""M_CPI""}",,0,,,
Stress test Reliance Industries for prolonged LPG import disruption.,T_EventScenario,T_EventScenario,0.9145027995109558,event_scenario_impact,True,"[""Reliance Industries"", ""LPG"", ""LPG import disruption""]","[{""entity"": ""Reliance Industries"", ""matched_node_name"": ""Reliance Industries"", ""matched_id"": ""C_RIL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LPG"", ""matched_node_name"": ""LPG"", ""matched_id"": ""RM_LPG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LPG import disruption"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Stress test <COMPANY> for prolonged <EVENT>.,"{""source_id"": ""E_HORMUZ""}",primary,8,"Template: event_scenario_impact (T_EventScenario)
Query intent: Downstream macro and company impact from an event scenario.

Row 1: event_name=Strait of Hormuz disruption | relationship=HURT_BY | impacted_name=India AI infrastructure capex cycle | impacted_type=EVENT
Row 2: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Brent crude price | impacted_type=MACRO_VAR
Row 3: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Global urea/DAP/sulphur price | impacted_type=MACRO_VAR
Row 4: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Gross refining margin | impacted_type=MACRO_VAR
Row 5: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Marine war-risk premium | impacted_type=MACRO_VAR
Row 6: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Saudi LPG contract price | impacted_type=MACRO_VAR
Row 7: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Spot LNG / JKM | impacted_type=MACRO_VAR
Row 8: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Tanker freight rates | impacted_type=MACRO_VAR",,
Downside scenario for Refining from oil supply shock.,T_EventScenario,T_EventScenario,0.9595480561256409,event_scenario_impact,True,"[""oil supply shock"", ""Refining""]","[{""entity"": ""oil supply shock"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""Refining"", ""matched_node_name"": ""Gross refining margin"", ""matched_id"": ""M_GRM"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.6042213439941406, ""source"": ""semantic""}]",Downside scenario for <MACRO_VAR> from <EVENT>.,"{""source_id"": ""E_HORMUZ""}",primary,8,"Template: event_scenario_impact (T_EventScenario)
Query intent: Downstream macro and company impact from an event scenario.

Row 1: event_name=Strait of Hormuz disruption | relationship=HURT_BY | impacted_name=India AI infrastructure capex cycle | impacted_type=EVENT
Row 2: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Brent crude price | impacted_type=MACRO_VAR
Row 3: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Global urea/DAP/sulphur price | impacted_type=MACRO_VAR
Row 4: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Gross refining margin | impacted_type=MACRO_VAR
Row 5: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Marine war-risk premium | impacted_type=MACRO_VAR
Row 6: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Saudi LPG contract price | impacted_type=MACRO_VAR
Row 7: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Spot LNG / JKM | impacted_type=MACRO_VAR
Row 8: event_name=Strait of Hormuz disruption | relationship=CAUSES | impacted_name=Tanker freight rates | impacted_type=MACRO_VAR",,
What land or water constraints affect Reliance Industries?,T_ConstraintRisk,T_ConstraintRisk,0.9742412567138672,constraint_risk_for_entity,True,"[""Reliance Industries""]","[{""entity"": ""Reliance Industries"", ""matched_node_name"": ""Reliance Industries"", ""matched_id"": ""C_RIL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What land or water constraints affect <COMPANY>?,"{""entity_id"": ""C_RIL""}",,0,,,
What is the IT Services peer set for Shriram Finance?,T_SectorExposure,T_SectorExposure,0.9581059813499451,sector_constituents,True,"[""IT Services"", ""Shriram Finance""]","[{""entity"": ""IT Services"", ""matched_node_name"": ""IT Services"", ""matched_id"": ""S_IT"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Shriram Finance"", ""matched_node_name"": ""Shriram Finance"", ""matched_id"": ""C_SHRIRAMFIN"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What is the <SECTOR> peer set for <COMPANY>?,"{""source_id"": ""S_IT""}",primary,10,"Template: sector_constituents (T_SectorExposure)
Query intent: Sector membership and constituent companies exposed to a theme.

Row 1: sector_name=IT Services | id=C_COFORGE | name=Coforge | node_type=COMPANY
Row 2: sector_name=IT Services | id=C_HCLTECH | name=HCL Technologies | node_type=COMPANY
Row 3: sector_name=IT Services | id=C_INFY | name=Infosys | node_type=COMPANY
Row 4: sector_name=IT Services | id=C_LTIM | name=LTIMindtree | node_type=COMPANY
Row 5: sector_name=IT Services | id=C_PERSISTENT | name=Persistent Systems | node_type=COMPANY
Row 6: sector_name=IT Services | id=C_QUESS | name=Quess Corp | node_type=COMPANY
Row 7: sector_name=IT Services | id=C_QUICKHEAL | name=Quick Heal Technologies | node_type=COMPANY
Row 8: sector_name=IT Services | id=C_TCS | name=Tata Consultancy Services | node_type=COMPANY
Row 9: sector_name=IT Services | id=C_TEAMLEASE | name=TeamLease Services | node_type=COMPANY
Row 10: sector_name=IT Services | id=C_WIPRO | name=Wipro | node_type=COMPANY",,
