query,gold_label,predicted_template,template_confidence,template_id,template_match,entities,resolved_entities,masked_query,cypher_parameters,triplet_slots,cypher_strategy,kg_row_count,kg_hop_path,summary,error
What regulatory risk does Coromandel International face in Oil & Gas?,F_Simple,F_Simple,0.7446344976761163,simple_triplet,True,"[""Coromandel International"", ""Oil & Gas""]","[{""entity"": ""Coromandel International"", ""matched_node_name"": ""Coromandel International"", ""matched_id"": ""C_COROMANDEL"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Oil & Gas"", ""matched_node_name"": ""Oil & Gas"", ""matched_id"": ""S_OILGAS"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What regulatory risk does <COMPANY> face in <SECTOR>?,"{""prop1"": ""REGULATED_BY"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_COROMANDEL""}","{""nnp1"": ""C_COROMANDEL"", ""nnp2"": ""S_OILGAS"", ""nnp3"": null, ""prop1"": ""REGULATED_BY"", ""nn1"": ""COMPANY"", ""nn2"": ""SECTOR"", ""threshold"": null}",single_entity,2,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=Coromandel International | relationship=HURT_BY | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 2: company_name=Coromandel International | relationship=HURT_BY | object_name=Fertiliser and LPG subsidy bill | object_type=MACRO_VAR",,
Show all Banks & NBFCs names with RBI policy rate linkage.,F_Simple,F_Simple,0.5844652273175452,simple_triplet,True,"[""Banks & NBFCs"", ""RBI policy rate""]","[{""entity"": ""Banks & NBFCs"", ""matched_node_name"": ""Banks & NBFCs"", ""matched_id"": ""S_BFSI"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""RBI policy rate"", ""matched_node_name"": ""RBI policy rate"", ""matched_id"": ""M_REPO"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Show all <SECTOR> names with <MACRO_VAR> linkage.,"{""prop1"": ""REGULATED_BY"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_BFSI""}","{""nnp1"": ""S_BFSI"", ""nnp2"": ""M_REPO"", ""nnp3"": null, ""prop1"": ""REGULATED_BY"", ""nn1"": ""SECTOR"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",single_entity,18,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: sector_name=Banks & NBFCs | company_name=Bajaj Finance | relationship=HURT_BY | object_name=RBI policy rate | object_type=MACRO_VAR
Row 2: sector_name=Banks & NBFCs | company_name=Cholamandalam Investment | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 3: sector_name=Banks & NBFCs | company_name=Shriram Finance | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 4: sector_name=Banks & NBFCs | company_name=Muthoot Finance | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 5: sector_name=Banks & NBFCs | company_name=Manappuram Finance | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 6: sector_name=Banks & NBFCs | company_name=HDFC Bank
Row 7: sector_name=Banks & NBFCs | company_name=State Bank of India | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 8: sector_name=Banks & NBFCs | company_name=AU Small Finance Bank
Row 9: sector_name=Banks & NBFCs | company_name=Federal Bank | relationship=BENEFITS_FROM | object_name=USD/INR | object_type=MACRO_VAR
Row 10: sector_name=Banks & NBFCs | company_name=South Indian Bank | relationship=BENEFITS_FROM | object_name=USD/INR | object_type=MACRO_VAR
Row 11: sector_name=Banks & NBFCs | company_name=CSB Bank | relationship=HURT_BY | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 12: sector_name=Banks & NBFCs | company_name=Dhanlaxmi Bank
Row 13: sector_name=Banks & NBFCs | company_name=GIC Re
Row 14: sector_name=Banks & NBFCs | company_name=New India Assurance | relationship=BENEFITS_FROM | object_name=Marine war-risk premium | object_type=MACRO_VAR
Row 15: sector_name=Banks & NBFCs | company_name=ICICI Lombard
Row 16: sector_name=Banks & NBFCs | company_name=Power Finance Corporation | relationship=BENEFITS_FROM | object_name=Power availability | object_type=CONSTRAINT
Row 17: sector_name=Banks & NBFCs | company_name=REC Ltd | relationship=BENEFITS_FROM | object_name=Power availability | object_type=CONSTRAINT
Row 18: sector_name=Banks & NBFCs | company_name=IREDA | relationship=BENEFITS_FROM | object_name=Grid stability under volatile DC load ramps | object_type=CONSTRAINT",,
What is the downside for Petronet LNG from LPG import disruption?,F_Simple,F_Simple,0.6148921000787625,simple_triplet,True,"[""Petronet LNG"", ""LPG"", ""LNG"", ""LPG import disruption""]","[{""entity"": ""Petronet LNG"", ""matched_node_name"": ""Petronet LNG"", ""matched_id"": ""C_PETRONET"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LPG"", ""matched_node_name"": ""LPG"", ""matched_id"": ""RM_LPG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""LNG"", ""matched_node_name"": ""LNG"", ""matched_id"": ""RM_LNG"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 0.99, ""source"": ""alias""}, {""entity"": ""LPG import disruption"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",What is the downside for <COMPANY> from <EVENT>?,"{""prop1"": ""OWNS"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_PETRONET""}","{""nnp1"": ""C_PETRONET"", ""nnp2"": ""RM_LNG"", ""nnp3"": null, ""prop1"": ""OWNS"", ""nn1"": ""COMPANY"", ""nn2"": ""RAW_MATERIAL"", ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=Petronet LNG | relationship=HURT_BY | object_name=Strait of Hormuz disruption | object_type=EVENT",,
Who profits from higher current account deficit in Defence?,F_CompMore,F_CompMore,0.5013366921947511,compare_more,True,"[""current account deficit"", ""Defence""]","[{""entity"": ""current account deficit"", ""matched_node_name"": ""Current account deficit"", ""matched_id"": ""M_CAD"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""Defence"", ""matched_node_name"": ""Defence"", ""matched_id"": ""S_DEFENCE"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Who profits from higher <MACRO_VAR> in <SECTOR>?,"{""nnp3"": ""M_CAD"", ""nnp2"": ""M_CAD"", ""nnp1"": ""S_DEFENCE""}","{""nnp1"": ""S_DEFENCE"", ""nnp2"": ""M_CAD"", ""nnp3"": ""M_CAD"", ""prop1"": null, ""nn1"": ""SECTOR"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",compare_pair,1,"Template: compare_more (F_CompMore)
Query intent: Compare exposure/path length: first entity has more hops than second.

Row 1: entity_a=Defence | entity_b=Current account deficit | hops_a=4 | more_connected=Defence",,
Downside scenario for Telecom & Connectivity from geopolitical escalation.,F_Simple,F_Simple,0.6164708375581647,simple_triplet,True,"[""Telecom & Connectivity"", ""geopolitical escalation""]","[{""entity"": ""Telecom & Connectivity"", ""matched_node_name"": ""Telecom & Connectivity"", ""matched_id"": ""S_TELECOM"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""geopolitical escalation"", ""matched_node_name"": ""Strait of Hormuz disruption"", ""matched_id"": ""E_HORMUZ"", ""matched_type"": ""EVENT"", ""similarity"": 0.99, ""source"": ""alias""}]",Downside scenario for <SECTOR> from <EVENT>.,"{""prop1"": ""OWNS"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_TELECOM""}","{""nnp1"": ""S_TELECOM"", ""nnp2"": ""E_HORMUZ"", ""nnp3"": null, ""prop1"": ""OWNS"", ""nn1"": ""SECTOR"", ""nn2"": ""EVENT"", ""threshold"": null}",single_entity,7,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: sector_name=Telecom & Connectivity | company_name=Bharti Airtel
Row 2: sector_name=Telecom & Connectivity | company_name=Tata Communications | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 3: sector_name=Telecom & Connectivity | company_name=RailTel Corporation
Row 4: sector_name=Telecom & Connectivity | company_name=Sterlite Technologies
Row 5: sector_name=Telecom & Connectivity | company_name=HFCL
Row 6: sector_name=Telecom & Connectivity | company_name=Tejas Networks
Row 7: sector_name=Telecom & Connectivity | company_name=Indus Towers | relationship=BENEFITS_FROM | object_name=Generative AI | object_type=TECHNOLOGY",,
How does carbon black price affect GIC Re margins?,F_Simple,F_Simple,0.6457687313725218,simple_triplet,True,"[""carbon black"", ""GIC Re""]","[{""entity"": ""carbon black"", ""matched_node_name"": ""Carbon black"", ""matched_id"": ""RM_CARBONBLACK"", ""matched_type"": ""RAW_MATERIAL"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""GIC Re"", ""matched_node_name"": ""GIC Re"", ""matched_id"": ""C_GICRE"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",How does <RAW_MATERIAL> price affect <COMPANY> margins?,"{""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_GICRE""}","{""nnp1"": ""C_GICRE"", ""nnp2"": ""RM_CARBONBLACK"", ""nnp3"": null, ""prop1"": ""HURT_BY"", ""nn1"": ""COMPANY"", ""nn2"": ""RAW_MATERIAL"", ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=GIC Re | relationship=HEDGES | object_name=Marine war-risk premium | object_type=MACRO_VAR",,
What capital flows into Defence from GIC?,F_Simple,F_Simple,0.6070379047813189,simple_triplet,True,"[""Defence""]","[{""entity"": ""Defence"", ""matched_node_name"": ""Defence"", ""matched_id"": ""S_DEFENCE"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",What capital flows into <SECTOR> from GIC?,"{""prop1"": ""CAUSES"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_DEFENCE""}","{""nnp1"": ""S_DEFENCE"", ""nnp2"": null, ""nnp3"": null, ""prop1"": ""CAUSES"", ""nn1"": ""SECTOR"", ""nn2"": null, ""threshold"": null}",propagation_open,25,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Path 1: Defence -> Astra Microwave (1 hops)
  Defence -[CONTAINS]-> Astra Microwave
Path 2: Defence -> Bharat Dynamics (1 hops)
  Defence -[CONTAINS]-> Bharat Dynamics
Path 3: Defence -> Cochin Shipyard (1 hops)
  Defence -[CONTAINS]-> Cochin Shipyard
Path 4: Defence -> Mazagon Dock (1 hops)
  Defence -[CONTAINS]-> Mazagon Dock
Path 5: Defence -> Hindustan Aeronautics (1 hops)
  Defence -[CONTAINS]-> Hindustan Aeronautics
Path 6: Defence -> Bharat Electronics (1 hops)
  Defence -[CONTAINS]-> Bharat Electronics
Path 7: Defence -> Solar Industries (1 hops)
  Defence -[CONTAINS]-> Solar Industries
Path 8: Defence -> Garden Reach Shipbuilders (1 hops)
  Defence -[CONTAINS]-> Garden Reach Shipbuilders
Path 9: Defence -> Data Patterns (1 hops)
  Defence -[CONTAINS]-> Data Patterns
Path 10: Defence -> Strait of Hormuz disruption (2 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
Path 11: Defence -> Strait of Hormuz disruption (2 hops)
  Defence -[CONTAINS]-> Solar Industries
  Solar Industries -[BENEFITS_FROM]-> Strait of Hormuz disruption
Path 12: Defence -> Strait of Hormuz disruption (2 hops)
  Defence -[CONTAINS]-> Cochin Shipyard
  Cochin Shipyard -[BENEFITS_FROM]-> Strait of Hormuz disruption
Path 13: Defence -> CSB Bank (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HURT_BY]-> CSB Bank
Path 14: Defence -> Coromandel International (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HURT_BY]-> Coromandel International
Path 15: Defence -> GAIL (India) (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HEDGES]-> GAIL (India)
Path 16: Defence -> Petronet LNG (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HURT_BY]-> Petronet LNG
Path 17: Defence -> Mangalore Refinery (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HURT_BY]-> Mangalore Refinery
Path 18: Defence -> Adani Ports & SEZ (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HURT_BY]-> Adani Ports & SEZ
Path 19: Defence -> Reliance Industries (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HEDGES]-> Reliance Industries
Path 20: Defence -> Manappuram Finance (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[BENEFITS_FROM]-> Manappuram Finance
Path 21: Defence -> Muthoot Finance (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[BENEFITS_FROM]-> Muthoot Finance
Path 22: Defence -> Solar Industries (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[BENEFITS_FROM]-> Solar Industries
Path 23: Defence -> India AI infrastructure capex cycle (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[HURT_BY]-> India AI infrastructure capex cycle
Path 24: Defence -> Global urea/DAP/sulphur price (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Global urea/DAP/sulphur price
Path 25: Defence -> Marine war-risk premium (3 hops)
  Defence -[CONTAINS]-> Bharat Electronics
  Bharat Electronics -[BENEFITS_FROM]-> Strait of Hormuz disruption
  Strait of Hormuz disruption -[CAUSES]-> Marine war-risk premium",,
Which Oil & Gas names are beneficiaries of tanker freight rates?,F_Simple,F_Simple,0.6148432044276081,simple_triplet,True,"[""Oil & Gas"", ""tanker freight rates""]","[{""entity"": ""Oil & Gas"", ""matched_node_name"": ""Oil & Gas"", ""matched_id"": ""S_OILGAS"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""tanker freight rates"", ""matched_node_name"": ""Tanker freight rates"", ""matched_id"": ""M_FREIGHT"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Which <SECTOR> names are beneficiaries of <MACRO_VAR>?,"{""nnp2"": ""M_FREIGHT"", ""nnp1"": ""S_OILGAS""}","{""nnp1"": ""S_OILGAS"", ""nnp2"": ""M_FREIGHT"", ""nnp3"": null, ""prop1"": ""BENEFITS_FROM"", ""nn1"": ""SECTOR"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",beneficiary_paths,25,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Path 1: Oil & Gas -> Hindustan Petroleum (1 hops)
  Oil & Gas -[CONTAINS]-> Hindustan Petroleum
Path 2: Oil & Gas -> Indraprastha Gas (1 hops)
  Oil & Gas -[CONTAINS]-> Indraprastha Gas
Path 3: Oil & Gas -> Chennai Petroleum (1 hops)
  Oil & Gas -[CONTAINS]-> Chennai Petroleum
Path 4: Oil & Gas -> Mangalore Refinery (1 hops)
  Oil & Gas -[CONTAINS]-> Mangalore Refinery
Path 5: Oil & Gas -> Selan Exploration (1 hops)
  Oil & Gas -[CONTAINS]-> Selan Exploration
Path 6: Oil & Gas -> Mahanagar Gas (1 hops)
  Oil & Gas -[CONTAINS]-> Mahanagar Gas
Path 7: Oil & Gas -> Gujarat State Petronet (1 hops)
  Oil & Gas -[CONTAINS]-> Gujarat State Petronet
Path 8: Oil & Gas -> Indian Oil (1 hops)
  Oil & Gas -[CONTAINS]-> Indian Oil
Path 9: Oil & Gas -> Petronet LNG (1 hops)
  Oil & Gas -[CONTAINS]-> Petronet LNG
Path 10: Oil & Gas -> Reliance Industries (1 hops)
  Oil & Gas -[CONTAINS]-> Reliance Industries
Path 11: Oil & Gas -> Gujarat Gas (1 hops)
  Oil & Gas -[CONTAINS]-> Gujarat Gas
Path 12: Oil & Gas -> Adani Total Gas (1 hops)
  Oil & Gas -[CONTAINS]-> Adani Total Gas
Path 13: Oil & Gas -> Castrol India (1 hops)
  Oil & Gas -[CONTAINS]-> Castrol India
Path 14: Oil & Gas -> Gulf Oil Lubricants (1 hops)
  Oil & Gas -[CONTAINS]-> Gulf Oil Lubricants
Path 15: Oil & Gas -> Oil & Natural Gas Corp (1 hops)
  Oil & Gas -[CONTAINS]-> Oil & Natural Gas Corp
Path 16: Oil & Gas -> Bharat Petroleum (1 hops)
  Oil & Gas -[CONTAINS]-> Bharat Petroleum
Path 17: Oil & Gas -> Oil India (1 hops)
  Oil & Gas -[CONTAINS]-> Oil India
Path 18: Oil & Gas -> GAIL (India) (1 hops)
  Oil & Gas -[CONTAINS]-> GAIL (India)
Path 19: Oil & Gas -> Oil & Natural Gas Corp (2 hops)
  Oil & Gas -[CONTAINS]-> Mangalore Refinery
  Mangalore Refinery -[OWNS]-> Oil & Natural Gas Corp
Path 20: Oil & Gas -> Oil & Natural Gas Corp (2 hops)
  Oil & Gas -[CONTAINS]-> Hindustan Petroleum
  Hindustan Petroleum -[OWNS]-> Oil & Natural Gas Corp
Path 21: Oil & Gas -> Hindustan Petroleum (2 hops)
  Oil & Gas -[CONTAINS]-> Oil & Natural Gas Corp
  Oil & Natural Gas Corp -[OWNS]-> Hindustan Petroleum
Path 22: Oil & Gas -> Mangalore Refinery (2 hops)
  Oil & Gas -[CONTAINS]-> Oil & Natural Gas Corp
  Oil & Natural Gas Corp -[OWNS]-> Mangalore Refinery
Path 23: Oil & Gas -> Tata Motors (3 hops)
  Oil & Gas -[CONTAINS]-> Oil & Natural Gas Corp
  Oil & Natural Gas Corp -[BENEFITS_FROM]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Tata Motors
Path 24: Oil & Gas -> Indian Oil (3 hops)
  Oil & Gas -[CONTAINS]-> Oil & Natural Gas Corp
  Oil & Natural Gas Corp -[PRODUCES]-> Crude oil
  Crude oil -[NEEDS]-> Indian Oil
Path 25: Oil & Gas -> Olectra Greentech (3 hops)
  Oil & Gas -[CONTAINS]-> Oil & Natural Gas Corp
  Oil & Natural Gas Corp -[BENEFITS_FROM]-> Brent crude price
  Brent crude price -[BENEFITS_FROM]-> Olectra Greentech",,
Benchmark SpiceJet against peers on USD/INR linkage.,F_CompMore,F_CompMore,0.44545124487449655,compare_more,True,"[""SpiceJet"", ""USD/INR""]","[{""entity"": ""SpiceJet"", ""matched_node_name"": ""SpiceJet"", ""matched_id"": ""C_SPICEJET"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""USD/INR"", ""matched_node_name"": ""USD/INR"", ""matched_id"": ""M_INR"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 1.0, ""source"": ""gazetteer""}]",Benchmark <COMPANY> against peers on <MACRO_VAR> linkage.,"{""nnp3"": ""M_INR"", ""nnp2"": ""M_INR"", ""nnp1"": ""C_SPICEJET""}","{""nnp1"": ""C_SPICEJET"", ""nnp2"": ""M_INR"", ""nnp3"": ""M_INR"", ""prop1"": null, ""nn1"": ""COMPANY"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",compare_pair,1,"Template: compare_more (F_CompMore)
Query intent: Compare exposure/path length: first entity has more hops than second.

Row 1: entity_a=SpiceJet | entity_b=USD/INR | hops_a=3 | more_connected=SpiceJet",,
What natural hedge does Power Grid Corporation have for marine war-risk spike?,F_Simple,F_Simple,0.6210570086668926,simple_triplet,True,"[""Power Grid Corporation"", ""marine war-risk spike""]","[{""entity"": ""Power Grid Corporation"", ""matched_node_name"": ""Power Grid Corporation"", ""matched_id"": ""C_POWERGRID"", ""matched_type"": ""COMPANY"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""marine war-risk spike"", ""matched_node_name"": ""Marine war-risk premium"", ""matched_id"": ""M_WARRISK"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",What natural hedge does <COMPANY> have for <MACRO_VAR>?,"{""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nnp1"": ""C_POWERGRID""}","{""nnp1"": ""C_POWERGRID"", ""nnp2"": ""M_WARRISK"", ""nnp3"": null, ""prop1"": ""HEDGES"", ""nn1"": ""COMPANY"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",single_entity,1,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: company_name=Power Grid Corporation | relationship=BENEFITS_FROM | object_name=Transmission evacuation capacity | object_type=CONSTRAINT",,
How does CPI shock affect Aviation demand?,F_Simple,F_Simple,0.5653429213400528,simple_triplet,True,"[""Aviation"", ""CPI""]","[{""entity"": ""Aviation"", ""matched_node_name"": ""Aviation"", ""matched_id"": ""S_AVIATION"", ""matched_type"": ""SECTOR"", ""similarity"": 1.0, ""source"": ""gazetteer""}, {""entity"": ""CPI"", ""matched_node_name"": ""India CPI"", ""matched_id"": ""M_CPI"", ""matched_type"": ""MACRO_VAR"", ""similarity"": 0.99, ""source"": ""alias""}]",How does <MACRO_VAR> shock affect <SECTOR> demand?,"{""prop1"": ""HURT_BY"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_AVIATION""}","{""nnp1"": ""S_AVIATION"", ""nnp2"": ""M_CPI"", ""nnp3"": null, ""prop1"": ""HURT_BY"", ""nn1"": ""SECTOR"", ""nn2"": ""MACRO_VAR"", ""threshold"": null}",single_entity,4,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: sector_name=Aviation | company_name=InterGlobe Aviation | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 2: sector_name=Aviation | company_name=InterGlobe Aviation | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 3: sector_name=Aviation | company_name=InterGlobe Aviation | relationship=HURT_BY | object_name=USD/INR | object_type=MACRO_VAR
Row 4: sector_name=Aviation | company_name=SpiceJet | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR",,
Which bottlenecks limit Insurance expansion?,F_Simple,F_Simple,0.6339304180639491,simple_triplet,True,"[""Insurance""]","[{""entity"": ""Insurance"", ""matched_node_name"": ""Banks & NBFCs"", ""matched_id"": ""S_BFSI"", ""matched_type"": ""SECTOR"", ""similarity"": 0.99, ""source"": ""alias""}]",Which bottlenecks limit <SECTOR> expansion?,"{""prop1"": ""CONSTRAINED_BY"", ""nn1"": ""SECTOR"", ""nnp1"": ""S_BFSI""}","{""nnp1"": ""S_BFSI"", ""nnp2"": null, ""nnp3"": null, ""prop1"": ""CONSTRAINED_BY"", ""nn1"": ""SECTOR"", ""nn2"": null, ""threshold"": null}",single_entity,18,"Template: simple_triplet (F_Simple)
Query intent: Simple question: subject linked to objects via a predicate.

Row 1: sector_name=Banks & NBFCs | company_name=Bajaj Finance | relationship=HURT_BY | object_name=RBI policy rate | object_type=MACRO_VAR
Row 2: sector_name=Banks & NBFCs | company_name=Cholamandalam Investment | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 3: sector_name=Banks & NBFCs | company_name=Shriram Finance | relationship=HURT_BY | object_name=Brent crude price | object_type=MACRO_VAR
Row 4: sector_name=Banks & NBFCs | company_name=Muthoot Finance | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 5: sector_name=Banks & NBFCs | company_name=Manappuram Finance | relationship=BENEFITS_FROM | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 6: sector_name=Banks & NBFCs | company_name=HDFC Bank
Row 7: sector_name=Banks & NBFCs | company_name=State Bank of India | relationship=BENEFITS_FROM | object_name=India AI infrastructure capex cycle | object_type=EVENT
Row 8: sector_name=Banks & NBFCs | company_name=AU Small Finance Bank
Row 9: sector_name=Banks & NBFCs | company_name=Federal Bank | relationship=BENEFITS_FROM | object_name=USD/INR | object_type=MACRO_VAR
Row 10: sector_name=Banks & NBFCs | company_name=South Indian Bank | relationship=BENEFITS_FROM | object_name=USD/INR | object_type=MACRO_VAR
Row 11: sector_name=Banks & NBFCs | company_name=CSB Bank | relationship=HURT_BY | object_name=Strait of Hormuz disruption | object_type=EVENT
Row 12: sector_name=Banks & NBFCs | company_name=Dhanlaxmi Bank
Row 13: sector_name=Banks & NBFCs | company_name=GIC Re
Row 14: sector_name=Banks & NBFCs | company_name=New India Assurance | relationship=BENEFITS_FROM | object_name=Marine war-risk premium | object_type=MACRO_VAR
Row 15: sector_name=Banks & NBFCs | company_name=ICICI Lombard
Row 16: sector_name=Banks & NBFCs | company_name=Power Finance Corporation | relationship=BENEFITS_FROM | object_name=Power availability | object_type=CONSTRAINT
Row 17: sector_name=Banks & NBFCs | company_name=REC Ltd | relationship=BENEFITS_FROM | object_name=Power availability | object_type=CONSTRAINT
Row 18: sector_name=Banks & NBFCs | company_name=IREDA | relationship=BENEFITS_FROM | object_name=Grid stability under volatile DC load ramps | object_type=CONSTRAINT",,
