source,target,source_name,target_name,source_type,target_type,edge_type
C_THERMAX,P_DATACENTRE,Thermax,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_THERMAX,Capital Goods & Electricals,Thermax,SECTOR,COMPANY,CONTAINS
C_VOLTAS,P_DATACENTRE,Voltas,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
C_VOLTAS,G_GCC,Voltas,Gulf producers,COMPANY,GEOGRAPHY,EXPOSED_TO_ORDERBOOK
C_HINDALCO,M_BRENT,Hindalco,Brent crude price,COMPANY,MACRO_VAR,HURT_BY
S_METALS,C_HINDALCO,Metals & Mining,Hindalco,SECTOR,COMPANY,CONTAINS
S_METALS,C_NALCO,Metals & Mining,National Aluminium,SECTOR,COMPANY,CONTAINS
C_NALCO,M_BRENT,National Aluminium,Brent crude price,COMPANY,MACRO_VAR,HEDGES
S_METALS,C_JSWSTEEL,Metals & Mining,JSW Steel,SECTOR,COMPANY,CONTAINS
C_JSWSTEEL,P_DATACENTRE,JSW Steel,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
C_HINDALCO,P_TRANSFORMER,Hindalco,Power transformer,COMPANY,PRODUCT,SUPPLIES_TO
P_DATACENTRE,P_TRANSFORMER,Data centre capacity (MW IT load),Power transformer,PRODUCT,PRODUCT,NEEDS
C_APARINDS,P_TRANSFORMER,Apar Industries,Power transformer,COMPANY,PRODUCT,SUPPLIES_TO
S_CAPGOODS,C_APARINDS,Capital Goods & Electricals,Apar Industries,SECTOR,COMPANY,CONTAINS
RM_PVC,M_BRENT,PVC resin,Brent crude price,RAW_MATERIAL,MACRO_VAR,PRICE_LINKED_TO
C_SUPREME,RM_PVC,Supreme Industries,PVC resin,COMPANY,RAW_MATERIAL,HURT_BY
S_CHEMICALS,C_SUPREME,Chemicals,Supreme Industries,SECTOR,COMPANY,CONTAINS
C_FINOLEXIND,RM_PVC,Finolex Industries,PVC resin,COMPANY,RAW_MATERIAL,HEDGES
S_CHEMICALS,C_FINOLEXIND,Chemicals,Finolex Industries,SECTOR,COMPANY,CONTAINS
P_POWERCABLE,RM_PVC,Power cable,PVC resin,PRODUCT,RAW_MATERIAL,NEEDS
P_DATACENTRE,P_POWERCABLE,Data centre capacity (MW IT load),Power cable,PRODUCT,PRODUCT,NEEDS
RM_SULPHUR,G_GCC,Sulphur,Gulf producers,RAW_MATERIAL,GEOGRAPHY,SOURCED_FROM
RM_SULPHUR,G_HORMUZ,Sulphur,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,TRANSITS
RM_CRUDE,G_HORMUZ,Crude oil,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,TRANSITS
S_IT,C_TCS,IT Services,Tata Consultancy Services,SECTOR,COMPANY,CONTAINS
S_IT,C_INFY,IT Services,Infosys,SECTOR,COMPANY,CONTAINS
S_IT,C_QUICKHEAL,IT Services,Quick Heal Technologies,SECTOR,COMPANY,CONTAINS
C_QUICKHEAL,POL_DC_TAX,Quick Heal Technologies,21-year DC tax holiday to 2047,COMPANY,POLICY,BENEFITS_FROM
POL_DC_TAX,E_AIBUILD,21-year DC tax holiday to 2047,India AI infrastructure capex cycle,POLICY,EVENT,ENABLES
S_FMCG,C_MARICO,FMCG,Marico,SECTOR,COMPANY,CONTAINS
C_MARICO,RM_LLP,Marico,Liquid light paraffin,COMPANY,RAW_MATERIAL,HURT_BY
RM_LLP,M_BRENT,Liquid light paraffin,Brent crude price,RAW_MATERIAL,MACRO_VAR,PRICE_LINKED_TO
S_EMS,C_NETWEB,EMS & Compute Hardware,Netweb Technologies,SECTOR,COMPANY,CONTAINS
S_EMS,C_KAYNES,EMS & Compute Hardware,Kaynes Technology,SECTOR,COMPANY,CONTAINS
C_KAYNES,POL_SEMICON,Kaynes Technology,India Semiconductor Mission / OSAT,COMPANY,POLICY,BENEFITS_FROM
C_CGPOWER,POL_SEMICON,CG Power & Industrial Solutions,India Semiconductor Mission / OSAT,COMPANY,POLICY,BENEFITS_FROM
C_PARADEEP,RM_SULPHUR,Paradeep Phosphates,Sulphur,COMPANY,RAW_MATERIAL,HURT_BY
S_FERTILISER,C_PARADEEP,Fertilisers & Agri-inputs,Paradeep Phosphates,SECTOR,COMPANY,CONTAINS
RM_AMMONIA,G_HORMUZ,Ammonia,Strait of Hormuz,RAW_MATERIAL,GEOGRAPHY,TRANSITS
C_DEEPAKFERT,RM_AMMONIA,Deepak Fertilisers,Ammonia,COMPANY,RAW_MATERIAL,HEDGES
S_FERTILISER,C_DEEPAKFERT,Fertilisers & Agri-inputs,Deepak Fertilisers,SECTOR,COMPANY,CONTAINS
P_DAP,RM_SULPHUR,DAP/NPK fertiliser,Sulphur,PRODUCT,RAW_MATERIAL,NEEDS
P_DAP,RM_AMMONIA,DAP/NPK fertiliser,Ammonia,PRODUCT,RAW_MATERIAL,NEEDS
S_CAPGOODS,C_HBLENGINE,Capital Goods & Electricals,HBL Engineering,SECTOR,COMPANY,CONTAINS
C_HBLENGINE,P_UPS,HBL Engineering,UPS / DC power backup,COMPANY,PRODUCT,SUPPLIES_TO
P_DATACENTRE,P_UPS,Data centre capacity (MW IT load),UPS / DC power backup,PRODUCT,PRODUCT,NEEDS
S_CHEMICALS,C_EPL,Chemicals,EPL Ltd,SECTOR,COMPANY,CONTAINS
C_EPL,RM_HDPE,EPL Ltd,HDPE/LLDPE/PP resin,COMPANY,RAW_MATERIAL,HURT_BY
RM_HDPE,RM_NAPHTHA,HDPE/LLDPE/PP resin,Naphtha,RAW_MATERIAL,RAW_MATERIAL,PRICE_LINKED_TO
RM_NAPHTHA,M_BRENT,Naphtha,Brent crude price,RAW_MATERIAL,MACRO_VAR,PRICE_LINKED_TO
S_CHEMICALS,C_GFL,Chemicals,Gujarat Fluorochemicals,SECTOR,COMPANY,CONTAINS
C_GFL,P_CHILLER,Gujarat Fluorochemicals,Chiller,COMPANY,PRODUCT,SUPPLIES_TO
C_SRF,P_CHILLER,SRF,Chiller,COMPANY,PRODUCT,SUPPLIES_TO
S_TELECOM,C_HFCL,Telecom & Connectivity,HFCL,SECTOR,COMPANY,CONTAINS
C_HFCL,P_FIBRE,HFCL,Optical fibre / interconnect,COMPANY,PRODUCT,SUPPLIES_TO
P_DATACENTRE,P_FIBRE,Data centre capacity (MW IT load),Optical fibre / interconnect,PRODUCT,PRODUCT,NEEDS
C_SKIPPER,CN_TRANSMISSION,Skipper,Transmission evacuation capacity,COMPANY,CONSTRAINT,SUPPLIES_TO
S_CABLES,C_SKIPPER,Cables & Wires,Skipper,SECTOR,COMPANY,CONTAINS
S_CABLES,C_POLYCAB,Cables & Wires,Polycab India,SECTOR,COMPANY,CONTAINS
C_POLYCAB,P_DATACENTRE,Polycab India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CABLES,C_KEI,Cables & Wires,KEI Industries,SECTOR,COMPANY,CONTAINS
C_KEI,P_DATACENTRE,KEI Industries,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_CABLES,C_RAMRATNA,Cables & Wires,Ram Ratna Wires,SECTOR,COMPANY,CONTAINS
C_RAMRATNA,P_TRANSFORMER,Ram Ratna Wires,Power transformer,COMPANY,PRODUCT,SUPPLIES_TO
S_CABLES,C_PRECWIRE,Cables & Wires,Precision Wires India,SECTOR,COMPANY,CONTAINS
C_PRECWIRE,P_TRANSFORMER,Precision Wires India,Power transformer,COMPANY,PRODUCT,SUPPLIES_TO
E_AIBUILD,CN_WATER,India AI infrastructure capex cycle,Water availability,EVENT,CONSTRAINT,CONSTRAINED_BY
CN_WATER,C_VATECHWABAG,Water availability,VA Tech Wabag,CONSTRAINT,COMPANY,CAUSES
S_WATER,C_VATECHWABAG,Water & Environment,VA Tech Wabag,SECTOR,COMPANY,CONTAINS
S_WATER,C_IONEXCHANGE,Water & Environment,Ion Exchange India,SECTOR,COMPANY,CONTAINS
C_IONEXCHANGE,P_DATACENTRE,Ion Exchange India,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
CN_CRGO,P_TRANSFORMER,CRGO electrical steel imports,Power transformer,CONSTRAINT,PRODUCT,CONSTRAINS
C_VOLTAMP,CN_CRGO,Voltamp Transformers,CRGO electrical steel imports,COMPANY,CONSTRAINT,CONSTRAINED_BY
C_TRIL,CN_CRGO,Transformers & Rectifiers India,CRGO electrical steel imports,COMPANY,CONSTRAINT,CONSTRAINED_BY
CN_CRGO,C_VOLTAMP,CRGO electrical steel imports,Voltamp Transformers,CONSTRAINT,COMPANY,CONSTRAINS
RM_CBFS,M_BRENT,Carbon black feedstock,Brent crude price,RAW_MATERIAL,MACRO_VAR,PRICE_LINKED_TO
RM_CARBONBLACK,RM_CBFS,Carbon black,Carbon black feedstock,RAW_MATERIAL,RAW_MATERIAL,NEEDS
P_TYRE,RM_CARBONBLACK,Tyre,Carbon black,PRODUCT,RAW_MATERIAL,NEEDS
P_TYRE,RM_SYNRUBBER,Tyre,Synthetic rubber,PRODUCT,RAW_MATERIAL,NEEDS
RM_SYNRUBBER,M_BRENT,Synthetic rubber,Brent crude price,RAW_MATERIAL,MACRO_VAR,PRICE_LINKED_TO
P_CHILLER,RM_REFRIGERANT,Chiller,Refrigerant / dielectric fluid,PRODUCT,RAW_MATERIAL,NEEDS
T_LIQUIDCOOL,RM_REFRIGERANT,Liquid cooling,Refrigerant / dielectric fluid,TECHNOLOGY,RAW_MATERIAL,CAUSES
T_LIQUIDCOOL,P_COOLING,Liquid cooling,Precision cooling / CDU,TECHNOLOGY,PRODUCT,CAUSES
P_DATACENTRE,P_COOLING,Data centre capacity (MW IT load),Precision cooling / CDU,PRODUCT,PRODUCT,NEEDS
S_CHEMICALS,C_AARTIIND,Chemicals,Aarti Industries,SECTOR,COMPANY,CONTAINS
C_AARTIIND,RM_BENZENE,Aarti Industries,Benzene,COMPANY,RAW_MATERIAL,HURT_BY
C_DEEPAKNTR,RM_BENZENE,Deepak Nitrite,Benzene,COMPANY,RAW_MATERIAL,HURT_BY
S_CHEMICALS,C_DEEPAKNTR,Chemicals,Deepak Nitrite,SECTOR,COMPANY,CONTAINS
C_AMBER,P_COOLING,Amber Enterprises,Precision cooling / CDU,COMPANY,PRODUCT,SUPPLIES_TO
S_COOLING,C_AMBER,HVAC & Thermal Management,Amber Enterprises,SECTOR,COMPANY,CONTAINS
S_COOLING,C_BLUESTARCO,HVAC & Thermal Management,Blue Star,SECTOR,COMPANY,CONTAINS
C_BLUESTARCO,P_DATACENTRE,Blue Star,Data centre capacity (MW IT load),COMPANY,PRODUCT,SUPPLIES_TO
S_COOLING,C_VOLTAS,HVAC & Thermal Management,Voltas,SECTOR,COMPANY,CONTAINS
S_COOLING,C_KRN,HVAC & Thermal Management,KRN Heat Exchanger,SECTOR,COMPANY,CONTAINS
C_KRN,C_SCHNEIDER,KRN Heat Exchanger,Schneider Electric Infrastructure,COMPANY,COMPANY,SUPPLIES_TO
C_JCHAC,P_COOLING,Johnson Controls-Hitachi AC India,Precision cooling / CDU,COMPANY,PRODUCT,SUPPLIES_TO
S_COOLING,C_JCHAC,HVAC & Thermal Management,Johnson Controls-Hitachi AC India,SECTOR,COMPANY,CONTAINS
P_POWERCABLE,RM_COPPER,Power cable,Copper,PRODUCT,RAW_MATERIAL,NEEDS
C_HINDCOPPER,RM_COPPER,Hindustan Copper,Copper,COMPANY,RAW_MATERIAL,SUPPLIES_TO
S_METALS,C_HINDCOPPER,Metals & Mining,Hindustan Copper,SECTOR,COMPANY,CONTAINS
