source,target,source_name,target_name,source_type,target_type,text,edge_type
128,345,Power & Utilities,Inox Wind,SECTOR,COMPANY,Power & Utilities contains Inox Wind,CONTAINS
128,346,Power & Utilities,KPI Green Energy,SECTOR,COMPANY,Power & Utilities contains KPI Green Energy,CONTAINS
128,347,Power & Utilities,Waaree Energies,SECTOR,COMPANY,Power & Utilities contains Waaree Energies,CONTAINS
128,348,Power & Utilities,Premier Energies,SECTOR,COMPANY,Power & Utilities contains Premier Energies,CONTAINS
128,349,Power & Utilities,Exide Industries,SECTOR,COMPANY,Power & Utilities contains Exide Industries,CONTAINS
128,350,Power & Utilities,Amara Raja Energy & Mobility,SECTOR,COMPANY,Power & Utilities contains Amara Raja Energy & Mobility,CONTAINS
128,351,Power & Utilities,Servotech Renewable Power,SECTOR,COMPANY,Power & Utilities contains Servotech Renewable Power,CONTAINS
129,277,Telecom & Connectivity,Bharti Airtel,SECTOR,COMPANY,Telecom & Connectivity contains Bharti Airtel,CONTAINS
129,278,Telecom & Connectivity,Tata Communications,SECTOR,COMPANY,Telecom & Connectivity contains Tata Communications,CONTAINS
129,281,Telecom & Connectivity,RailTel Corporation,SECTOR,COMPANY,Telecom & Connectivity contains RailTel Corporation,CONTAINS
129,316,Telecom & Connectivity,Sterlite Technologies,SECTOR,COMPANY,Telecom & Connectivity contains Sterlite Technologies,CONTAINS
129,317,Telecom & Connectivity,HFCL,SECTOR,COMPANY,Telecom & Connectivity contains HFCL,CONTAINS
129,318,Telecom & Connectivity,Tejas Networks,SECTOR,COMPANY,Telecom & Connectivity contains Tejas Networks,CONTAINS
129,319,Telecom & Connectivity,Indus Towers,SECTOR,COMPANY,Telecom & Connectivity contains Indus Towers,CONTAINS
130,279,Real Estate & REITs,Anant Raj,SECTOR,COMPANY,Real Estate & REITs contains Anant Raj,CONTAINS
130,280,Real Estate & REITs,Macrotech Developers,SECTOR,COMPANY,Real Estate & REITs contains Macrotech Developers,CONTAINS
130,282,Real Estate & REITs,DLF,SECTOR,COMPANY,Real Estate & REITs contains DLF,CONTAINS
130,283,Real Estate & REITs,Embassy Office Parks REIT,SECTOR,COMPANY,Real Estate & REITs contains Embassy Office Parks REIT,CONTAINS
130,284,Real Estate & REITs,Mindspace Business Parks REIT,SECTOR,COMPANY,Real Estate & REITs contains Mindspace Business Parks REIT,CONTAINS
130,285,Real Estate & REITs,Brigade Enterprises,SECTOR,COMPANY,Real Estate & REITs contains Brigade Enterprises,CONTAINS
131,240,Banks & NBFCs,Bajaj Finance,SECTOR,COMPANY,Banks & NBFCs contains Bajaj Finance,CONTAINS
131,241,Banks & NBFCs,Cholamandalam Investment,SECTOR,COMPANY,Banks & NBFCs contains Cholamandalam Investment,CONTAINS
131,242,Banks & NBFCs,Shriram Finance,SECTOR,COMPANY,Banks & NBFCs contains Shriram Finance,CONTAINS
131,243,Banks & NBFCs,Muthoot Finance,SECTOR,COMPANY,Banks & NBFCs contains Muthoot Finance,CONTAINS
131,244,Banks & NBFCs,Manappuram Finance,SECTOR,COMPANY,Banks & NBFCs contains Manappuram Finance,CONTAINS
131,245,Banks & NBFCs,HDFC Bank,SECTOR,COMPANY,Banks & NBFCs contains HDFC Bank,CONTAINS
131,246,Banks & NBFCs,State Bank of India,SECTOR,COMPANY,Banks & NBFCs contains State Bank of India,CONTAINS
131,247,Banks & NBFCs,AU Small Finance Bank,SECTOR,COMPANY,Banks & NBFCs contains AU Small Finance Bank,CONTAINS
131,248,Banks & NBFCs,Federal Bank,SECTOR,COMPANY,Banks & NBFCs contains Federal Bank,CONTAINS
131,249,Banks & NBFCs,South Indian Bank,SECTOR,COMPANY,Banks & NBFCs contains South Indian Bank,CONTAINS
131,250,Banks & NBFCs,CSB Bank,SECTOR,COMPANY,Banks & NBFCs contains CSB Bank,CONTAINS
131,251,Banks & NBFCs,Dhanlaxmi Bank,SECTOR,COMPANY,Banks & NBFCs contains Dhanlaxmi Bank,CONTAINS
131,252,Banks & NBFCs,GIC Re,SECTOR,COMPANY,Banks & NBFCs contains GIC Re,CONTAINS
131,253,Banks & NBFCs,New India Assurance,SECTOR,COMPANY,Banks & NBFCs contains New India Assurance,CONTAINS
131,254,Banks & NBFCs,ICICI Lombard,SECTOR,COMPANY,Banks & NBFCs contains ICICI Lombard,CONTAINS
131,352,Banks & NBFCs,Power Finance Corporation,SECTOR,COMPANY,Banks & NBFCs contains Power Finance Corporation,CONTAINS
131,353,Banks & NBFCs,REC Ltd,SECTOR,COMPANY,Banks & NBFCs contains REC Ltd,CONTAINS
131,354,Banks & NBFCs,IREDA,SECTOR,COMPANY,Banks & NBFCs contains IREDA,CONTAINS
132,255,IT Services,Tata Consultancy Services,SECTOR,COMPANY,IT Services contains Tata Consultancy Services,CONTAINS
132,256,IT Services,Infosys,SECTOR,COMPANY,IT Services contains Infosys,CONTAINS
132,257,IT Services,HCL Technologies,SECTOR,COMPANY,IT Services contains HCL Technologies,CONTAINS
132,258,IT Services,Wipro,SECTOR,COMPANY,IT Services contains Wipro,CONTAINS
132,259,IT Services,LTIMindtree,SECTOR,COMPANY,IT Services contains LTIMindtree,CONTAINS
132,260,IT Services,Persistent Systems,SECTOR,COMPANY,IT Services contains Persistent Systems,CONTAINS
132,261,IT Services,Coforge,SECTOR,COMPANY,IT Services contains Coforge,CONTAINS
132,262,IT Services,Quick Heal Technologies,SECTOR,COMPANY,IT Services contains Quick Heal Technologies,CONTAINS
132,357,IT Services,TeamLease Services,SECTOR,COMPANY,IT Services contains TeamLease Services,CONTAINS
132,358,IT Services,Quess Corp,SECTOR,COMPANY,IT Services contains Quess Corp,CONTAINS
133,267,Defence,Hindustan Aeronautics,SECTOR,COMPANY,Defence contains Hindustan Aeronautics,CONTAINS
133,268,Defence,Bharat Electronics,SECTOR,COMPANY,Defence contains Bharat Electronics,CONTAINS
133,269,Defence,Bharat Dynamics,SECTOR,COMPANY,Defence contains Bharat Dynamics,CONTAINS
133,270,Defence,Solar Industries,SECTOR,COMPANY,Defence contains Solar Industries,CONTAINS
133,271,Defence,Cochin Shipyard,SECTOR,COMPANY,Defence contains Cochin Shipyard,CONTAINS
133,272,Defence,Mazagon Dock,SECTOR,COMPANY,Defence contains Mazagon Dock,CONTAINS
133,273,Defence,Garden Reach Shipbuilders,SECTOR,COMPANY,Defence contains Garden Reach Shipbuilders,CONTAINS
133,274,Defence,Data Patterns,SECTOR,COMPANY,Defence contains Data Patterns,CONTAINS
133,275,Defence,Astra Microwave,SECTOR,COMPANY,Defence contains Astra Microwave,CONTAINS
134,227,Metals & Mining,Hindalco,SECTOR,COMPANY,Metals & Mining contains Hindalco,CONTAINS
134,228,Metals & Mining,National Aluminium,SECTOR,COMPANY,Metals & Mining contains National Aluminium,CONTAINS
134,229,Metals & Mining,Vedanta,SECTOR,COMPANY,Metals & Mining contains Vedanta,CONTAINS
134,230,Metals & Mining,JSW Steel,SECTOR,COMPANY,Metals & Mining contains JSW Steel,CONTAINS
134,231,Metals & Mining,Tata Steel,SECTOR,COMPANY,Metals & Mining contains Tata Steel,CONTAINS
134,232,Metals & Mining,Hindustan Copper,SECTOR,COMPANY,Metals & Mining contains Hindustan Copper,CONTAINS
135,223,Cement,UltraTech Cement,SECTOR,COMPANY,Cement contains UltraTech Cement,CONTAINS
135,224,Cement,Ambuja Cements,SECTOR,COMPANY,Cement contains Ambuja Cements,CONTAINS
135,225,Cement,Shree Cement,SECTOR,COMPANY,Cement contains Shree Cement,CONTAINS
135,226,Cement,Dalmia Bharat,SECTOR,COMPANY,Cement contains Dalmia Bharat,CONTAINS
136,233,Automobiles,Maruti Suzuki,SECTOR,COMPANY,Automobiles contains Maruti Suzuki,CONTAINS
136,234,Automobiles,Hero MotoCorp,SECTOR,COMPANY,Automobiles contains Hero MotoCorp,CONTAINS
136,235,Automobiles,Bajaj Auto,SECTOR,COMPANY,Automobiles contains Bajaj Auto,CONTAINS
136,236,Automobiles,TVS Motor,SECTOR,COMPANY,Automobiles contains TVS Motor,CONTAINS
136,237,Automobiles,Tata Motors,SECTOR,COMPANY,Automobiles contains Tata Motors,CONTAINS
136,238,Automobiles,Mahindra & Mahindra,SECTOR,COMPANY,Automobiles contains Mahindra & Mahindra,CONTAINS
136,239,Automobiles,Olectra Greentech,SECTOR,COMPANY,Automobiles contains Olectra Greentech,CONTAINS
137,212,FMCG,Balrampur Chini,SECTOR,COMPANY,FMCG contains Balrampur Chini,CONTAINS
137,213,FMCG,Triveni Engineering,SECTOR,COMPANY,FMCG contains Triveni Engineering,CONTAINS
137,214,FMCG,Shree Renuka Sugars,SECTOR,COMPANY,FMCG contains Shree Renuka Sugars,CONTAINS
137,216,FMCG,Hindustan Unilever,SECTOR,COMPANY,FMCG contains Hindustan Unilever,CONTAINS
137,217,FMCG,Marico,SECTOR,COMPANY,FMCG contains Marico,CONTAINS
137,218,FMCG,Godrej Consumer,SECTOR,COMPANY,FMCG contains Godrej Consumer,CONTAINS
137,219,FMCG,Dabur India,SECTOR,COMPANY,FMCG contains Dabur India,CONTAINS
137,220,FMCG,Jyothy Labs,SECTOR,COMPANY,FMCG contains Jyothy Labs,CONTAINS
137,263,FMCG,Sun Pharmaceutical,SECTOR,COMPANY,FMCG contains Sun Pharmaceutical,CONTAINS
137,264,FMCG,Dr Reddy's Laboratories,SECTOR,COMPANY,FMCG contains Dr Reddy's Laboratories,CONTAINS
137,265,FMCG,Cipla,SECTOR,COMPANY,FMCG contains Cipla,CONTAINS
137,266,FMCG,Divi's Laboratories,SECTOR,COMPANY,FMCG contains Divi's Laboratories,CONTAINS
138,327,EPC & Infrastructure,Larsen & Toubro,SECTOR,COMPANY,EPC & Infrastructure contains Larsen & Toubro,CONTAINS
138,328,EPC & Infrastructure,Techno Electric & Engineering,SECTOR,COMPANY,EPC & Infrastructure contains Techno Electric & Engineering,CONTAINS
138,329,EPC & Infrastructure,Kalpataru Projects,SECTOR,COMPANY,EPC & Infrastructure contains Kalpataru Projects,CONTAINS
138,330,EPC & Infrastructure,KEC International,SECTOR,COMPANY,EPC & Infrastructure contains KEC International,CONTAINS
138,331,EPC & Infrastructure,Ahluwalia Contracts,SECTOR,COMPANY,EPC & Infrastructure contains Ahluwalia Contracts,CONTAINS
138,332,EPC & Infrastructure,PSP Projects,SECTOR,COMPANY,EPC & Infrastructure contains PSP Projects,CONTAINS
138,333,EPC & Infrastructure,Afcons Infrastructure,SECTOR,COMPANY,EPC & Infrastructure contains Afcons Infrastructure,CONTAINS
139,355,Water & Environment,VA Tech Wabag,SECTOR,COMPANY,Water & Environment contains VA Tech Wabag,CONTAINS
139,356,Water & Environment,Ion Exchange India,SECTOR,COMPANY,Water & Environment contains Ion Exchange India,CONTAINS
140,24,Oil & Natural Gas Corp,Crude oil,COMPANY,RAW_MATERIAL,Oil & Natural Gas Corp produces Crude oil,PRODUCES
140,12,Oil & Natural Gas Corp,Brent crude price,COMPANY,MACRO_VAR,Oil & Natural Gas Corp benefits from Brent crude price,BENEFITS_FROM
140,93,Oil & Natural Gas Corp,Windfall tax / SAED on upstream,COMPANY,POLICY,Oil & Natural Gas Corp hurt by Windfall tax / SAED on upstream,HURT_BY
140,145,Oil & Natural Gas Corp,Hindustan Petroleum,COMPANY,COMPANY,Oil & Natural Gas Corp owns Hindustan Petroleum,OWNS
140,146,Oil & Natural Gas Corp,Mangalore Refinery,COMPANY,COMPANY,Oil & Natural Gas Corp owns Mangalore Refinery,OWNS
141,12,Oil India,Brent crude price,COMPANY,MACRO_VAR,Oil India benefits from Brent crude price,BENEFITS_FROM
142,0,GAIL (India),Strait of Hormuz disruption,COMPANY,EVENT,GAIL (India) hedges Strait of Hormuz disruption,HEDGES
143,15,Indian Oil,Gross refining margin,COMPANY,MACRO_VAR,Indian Oil benefits from Gross refining margin,BENEFITS_FROM
143,14,Indian Oil,Saudi LPG contract price,COMPANY,MACRO_VAR,Indian Oil hurt by Saudi LPG contract price,HURT_BY
143,24,Indian Oil,Crude oil,COMPANY,RAW_MATERIAL,Indian Oil needs Crude oil,NEEDS
143,91,Indian Oil,Administered LPG pricing,COMPANY,POLICY,Indian Oil regulated by Administered LPG pricing,REGULATED_BY
144,14,Bharat Petroleum,Saudi LPG contract price,COMPANY,MACRO_VAR,Bharat Petroleum hurt by Saudi LPG contract price,HURT_BY
145,14,Hindustan Petroleum,Saudi LPG contract price,COMPANY,MACRO_VAR,Hindustan Petroleum hurt by Saudi LPG contract price,HURT_BY
146,15,Mangalore Refinery,Gross refining margin,COMPANY,MACRO_VAR,Mangalore Refinery benefits from Gross refining margin,BENEFITS_FROM
146,0,Mangalore Refinery,Strait of Hormuz disruption,COMPANY,EVENT,Mangalore Refinery hurt by Strait of Hormuz disruption,HURT_BY
147,15,Chennai Petroleum,Gross refining margin,COMPANY,MACRO_VAR,Chennai Petroleum benefits from Gross refining margin,BENEFITS_FROM
148,1,Reliance Industries,India AI infrastructure capex cycle,COMPANY,EVENT,Reliance Industries benefits from India AI infrastructure capex cycle,BENEFITS_FROM
148,106,Reliance Industries,Reliance Jamnagar AI campus,COMPANY,ASSET,Reliance Industries owns Reliance Jamnagar AI campus,OWNS
148,0,Reliance Industries,Strait of Hormuz disruption,COMPANY,EVENT,Reliance Industries hedges Strait of Hormuz disruption,HEDGES
149,0,Petronet LNG,Strait of Hormuz disruption,COMPANY,EVENT,Petronet LNG hurt by Strait of Hormuz disruption,HURT_BY
151,12,Indraprastha Gas,Brent crude price,COMPANY,MACRO_VAR,Indraprastha Gas benefits from Brent crude price,BENEFITS_FROM
151,13,Indraprastha Gas,Spot LNG / JKM,COMPANY,MACRO_VAR,Indraprastha Gas hurt by Spot LNG / JKM,HURT_BY
152,13,Mahanagar Gas,Spot LNG / JKM,COMPANY,MACRO_VAR,Mahanagar Gas hurt by Spot LNG / JKM,HURT_BY
153,13,Gujarat Gas,Spot LNG / JKM,COMPANY,MACRO_VAR,Gujarat Gas hurt by Spot LNG / JKM,HURT_BY
153,95,Gujarat Gas,Natural Gas Control Order (rationing),COMPANY,POLICY,Gujarat Gas regulated by Natural Gas Control Order (rationing),REGULATED_BY
156,16,Great Eastern Shipping,Tanker freight rates,COMPANY,MACRO_VAR,Great Eastern Shipping benefits from Tanker freight rates,BENEFITS_FROM
156,17,Great Eastern Shipping,Marine war-risk premium,COMPANY,MACRO_VAR,Great Eastern Shipping hurt by Marine war-risk premium,HURT_BY
157,16,Shipping Corporation of India,Tanker freight rates,COMPANY,MACRO_VAR,Shipping Corporation of India benefits from Tanker freight rates,BENEFITS_FROM
159,1,Adani Ports & SEZ,India AI infrastructure capex cycle,COMPANY,EVENT,Adani Ports & SEZ benefits from India AI infrastructure capex cycle,BENEFITS_FROM
159,0,Adani Ports & SEZ,Strait of Hormuz disruption,COMPANY,EVENT,Adani Ports & SEZ hurt by Strait of Hormuz disruption,HURT_BY
161,16,Container Corp of India,Tanker freight rates,COMPANY,MACRO_VAR,Container Corp of India hurt by Tanker freight rates,HURT_BY
163,12,Transport Corp of India,Brent crude price,COMPANY,MACRO_VAR,Transport Corp of India hurt by Brent crude price,HURT_BY
164,1,InterGlobe Aviation,India AI infrastructure capex cycle,COMPANY,EVENT,InterGlobe Aviation benefits from India AI infrastructure capex cycle,BENEFITS_FROM
164,12,InterGlobe Aviation,Brent crude price,COMPANY,MACRO_VAR,InterGlobe Aviation hurt by Brent crude price,HURT_BY
164,18,InterGlobe Aviation,USD/INR,COMPANY,MACRO_VAR,InterGlobe Aviation hurt by USD/INR,HURT_BY
164,57,InterGlobe Aviation,Aviation turbine fuel,COMPANY,PRODUCT,InterGlobe Aviation needs Aviation turbine fuel,NEEDS
165,12,SpiceJet,Brent crude price,COMPANY,MACRO_VAR,SpiceJet hurt by Brent crude price,HURT_BY
166,12,Asian Paints,Brent crude price,COMPANY,MACRO_VAR,Asian Paints hurt by Brent crude price,HURT_BY
167,12,Berger Paints,Brent crude price,COMPANY,MACRO_VAR,Berger Paints hurt by Brent crude price,HURT_BY
169,12,Indigo Paints,Brent crude price,COMPANY,MACRO_VAR,Indigo Paints hurt by Brent crude price,HURT_BY
171,43,Pidilite Industries,Vinyl acetate monomer,COMPANY,RAW_MATERIAL,Pidilite Industries hurt by Vinyl acetate monomer,HURT_BY
173,12,MRF,Brent crude price,COMPANY,MACRO_VAR,MRF hurt by Brent crude price,HURT_BY
177,18,Balkrishna Industries,USD/INR,COMPANY,MACRO_VAR,Balkrishna Industries hedges USD/INR,HEDGES
178,12,PCBL,Brent crude price,COMPANY,MACRO_VAR,PCBL hurt by Brent crude price,HURT_BY
180,41,Supreme Industries,PVC resin,COMPANY,RAW_MATERIAL,Supreme Industries hurt by PVC resin,HURT_BY
182,41,Finolex Industries,PVC resin,COMPANY,RAW_MATERIAL,Finolex Industries hedges PVC resin,HEDGES
184,42,Polyplex,PTA/MEG,COMPANY,RAW_MATERIAL,Polyplex hurt by PTA/MEG,HURT_BY
187,40,EPL Ltd,HDPE/LLDPE/PP resin,COMPANY,RAW_MATERIAL,EPL Ltd hurt by HDPE/LLDPE/PP resin,HURT_BY
189,12,SRF,Brent crude price,COMPANY,MACRO_VAR,SRF hurt by Brent crude price,HURT_BY
189,73,SRF,Chiller,COMPANY,PRODUCT,SRF supplies to Chiller,SUPPLIES_TO
191,73,Gujarat Fluorochemicals,Chiller,COMPANY,PRODUCT,Gujarat Fluorochemicals supplies to Chiller,SUPPLIES_TO
192,31,Aarti Industries,Benzene,COMPANY,RAW_MATERIAL,Aarti Industries hurt by Benzene,HURT_BY
193,31,Deepak Nitrite,Benzene,COMPANY,RAW_MATERIAL,Deepak Nitrite hurt by Benzene,HURT_BY
196,13,Tata Chemicals,Spot LNG / JKM,COMPANY,MACRO_VAR,Tata Chemicals hurt by Spot LNG / JKM,HURT_BY
197,13,GHCL,Spot LNG / JKM,COMPANY,MACRO_VAR,GHCL hurt by Spot LNG / JKM,HURT_BY
199,13,Chambal Fertilisers,Spot LNG / JKM,COMPANY,MACRO_VAR,Chambal Fertilisers hurt by Spot LNG / JKM,HURT_BY
199,96,Chambal Fertilisers,Nutrient Based Subsidy,COMPANY,POLICY,Chambal Fertilisers regulated by Nutrient Based Subsidy,REGULATED_BY
200,0,Coromandel International,Strait of Hormuz disruption,COMPANY,EVENT,Coromandel International hurt by Strait of Hormuz disruption,HURT_BY
200,23,Coromandel International,Fertiliser and LPG subsidy bill,COMPANY,MACRO_VAR,Coromandel International hurt by Fertiliser and LPG subsidy bill,HURT_BY
205,49,Deepak Fertilisers,Ammonia,COMPANY,RAW_MATERIAL,Deepak Fertilisers hedges Ammonia,HEDGES
206,48,Paradeep Phosphates,Sulphur,COMPANY,RAW_MATERIAL,Paradeep Phosphates hurt by Sulphur,HURT_BY
211,13,Coal India,Spot LNG / JKM,COMPANY,MACRO_VAR,Coal India benefits from Spot LNG / JKM,BENEFITS_FROM
211,79,Coal India,Power availability,COMPANY,CONSTRAINT,Coal India benefits from Power availability,BENEFITS_FROM
212,12,Balrampur Chini,Brent crude price,COMPANY,MACRO_VAR,Balrampur Chini benefits from Brent crude price,BENEFITS_FROM
215,0,Praj Industries,Strait of Hormuz disruption,COMPANY,EVENT,Praj Industries benefits from Strait of Hormuz disruption,BENEFITS_FROM
216,12,Hindustan Unilever,Brent crude price,COMPANY,MACRO_VAR,Hindustan Unilever hurt by Brent crude price,HURT_BY
217,46,Marico,Liquid light paraffin,COMPANY,RAW_MATERIAL,Marico hurt by Liquid light paraffin,HURT_BY
221,34,Castrol India,Base oil,COMPANY,RAW_MATERIAL,Castrol India hurt by Base oil,HURT_BY
222,34,Gulf Oil Lubricants,Base oil,COMPANY,RAW_MATERIAL,Gulf Oil Lubricants hurt by Base oil,HURT_BY
223,12,UltraTech Cement,Brent crude price,COMPANY,MACRO_VAR,UltraTech Cement hurt by Brent crude price,HURT_BY
223,67,UltraTech Cement,Data centre capacity (MW IT load),COMPANY,PRODUCT,UltraTech Cement supplies to Data centre capacity (MW IT load),SUPPLIES_TO
227,12,Hindalco,Brent crude price,COMPANY,MACRO_VAR,Hindalco hurt by Brent crude price,HURT_BY
227,68,Hindalco,Power transformer,COMPANY,PRODUCT,Hindalco supplies to Power transformer,SUPPLIES_TO
228,12,National Aluminium,Brent crude price,COMPANY,MACRO_VAR,National Aluminium hedges Brent crude price,HEDGES
228,52,National Aluminium,Aluminium,COMPANY,RAW_MATERIAL,National Aluminium supplies to Aluminium,SUPPLIES_TO
230,67,JSW Steel,Data centre capacity (MW IT load),COMPANY,PRODUCT,JSW Steel supplies to Data centre capacity (MW IT load),SUPPLIES_TO
232,51,Hindustan Copper,Copper,COMPANY,RAW_MATERIAL,Hindustan Copper supplies to Copper,SUPPLIES_TO
233,12,Maruti Suzuki,Brent crude price,COMPANY,MACRO_VAR,Maruti Suzuki hurt by Brent crude price,HURT_BY
234,12,Hero MotoCorp,Brent crude price,COMPANY,MACRO_VAR,Hero MotoCorp hurt by Brent crude price,HURT_BY
237,12,Tata Motors,Brent crude price,COMPANY,MACRO_VAR,Tata Motors benefits from Brent crude price,BENEFITS_FROM
238,22,Mahindra & Mahindra,Global urea/DAP/sulphur price,COMPANY,MACRO_VAR,Mahindra & Mahindra hurt by Global urea/DAP/sulphur price,HURT_BY
239,12,Olectra Greentech,Brent crude price,COMPANY,MACRO_VAR,Olectra Greentech benefits from Brent crude price,BENEFITS_FROM
240,21,Bajaj Finance,RBI policy rate,COMPANY,MACRO_VAR,Bajaj Finance hurt by RBI policy rate,HURT_BY
241,12,Cholamandalam Investment,Brent crude price,COMPANY,MACRO_VAR,Cholamandalam Investment hurt by Brent crude price,HURT_BY
242,12,Shriram Finance,Brent crude price,COMPANY,MACRO_VAR,Shriram Finance hurt by Brent crude price,HURT_BY
243,0,Muthoot Finance,Strait of Hormuz disruption,COMPANY,EVENT,Muthoot Finance benefits from Strait of Hormuz disruption,BENEFITS_FROM
244,0,Manappuram Finance,Strait of Hormuz disruption,COMPANY,EVENT,Manappuram Finance benefits from Strait of Hormuz disruption,BENEFITS_FROM
246,1,State Bank of India,India AI infrastructure capex cycle,COMPANY,EVENT,State Bank of India benefits from India AI infrastructure capex cycle,BENEFITS_FROM
248,18,Federal Bank,USD/INR,COMPANY,MACRO_VAR,Federal Bank benefits from USD/INR,BENEFITS_FROM
248,0,Federal Bank,Strait of Hormuz disruption,COMPANY,EVENT,Federal Bank hedges Strait of Hormuz disruption,HEDGES
249,18,South Indian Bank,USD/INR,COMPANY,MACRO_VAR,South Indian Bank benefits from USD/INR,BENEFITS_FROM
250,0,CSB Bank,Strait of Hormuz disruption,COMPANY,EVENT,CSB Bank hurt by Strait of Hormuz disruption,HURT_BY
252,17,GIC Re,Marine war-risk premium,COMPANY,MACRO_VAR,GIC Re hedges Marine war-risk premium,HEDGES
253,17,New India Assurance,Marine war-risk premium,COMPANY,MACRO_VAR,New India Assurance benefits from Marine war-risk premium,BENEFITS_FROM
255,18,Tata Consultancy Services,USD/INR,COMPANY,MACRO_VAR,Tata Consultancy Services benefits from USD/INR,BENEFITS_FROM
255,88,Tata Consultancy Services,Generative AI,COMPANY,TECHNOLOGY,Tata Consultancy Services hedges Generative AI,HEDGES
256,18,Infosys,USD/INR,COMPANY,MACRO_VAR,Infosys benefits from USD/INR,BENEFITS_FROM
256,88,Infosys,Generative AI,COMPANY,TECHNOLOGY,Infosys hedges Generative AI,HEDGES
262,97,Quick Heal Technologies,21-year DC tax holiday to 2047,COMPANY,POLICY,Quick Heal Technologies benefits from 21-year DC tax holiday to 2047,BENEFITS_FROM
263,18,Sun Pharmaceutical,USD/INR,COMPANY,MACRO_VAR,Sun Pharmaceutical benefits from USD/INR,BENEFITS_FROM
266,12,Divi's Laboratories,Brent crude price,COMPANY,MACRO_VAR,Divi's Laboratories hurt by Brent crude price,HURT_BY
268,0,Bharat Electronics,Strait of Hormuz disruption,COMPANY,EVENT,Bharat Electronics benefits from Strait of Hormuz disruption,BENEFITS_FROM
270,0,Solar Industries,Strait of Hormuz disruption,COMPANY,EVENT,Solar Industries benefits from Strait of Hormuz disruption,BENEFITS_FROM
271,0,Cochin Shipyard,Strait of Hormuz disruption,COMPANY,EVENT,Cochin Shipyard benefits from Strait of Hormuz disruption,BENEFITS_FROM
276,1,Adani Enterprises,India AI infrastructure capex cycle,COMPANY,EVENT,Adani Enterprises benefits from India AI infrastructure capex cycle,BENEFITS_FROM
276,108,Adani Enterprises,AdaniConneX,COMPANY,PRIVATE_CO,Adani Enterprises jv with AdaniConneX,JV_WITH
277,111,Bharti Airtel,Nxtra by Airtel,COMPANY,PRIVATE_CO,Bharti Airtel owns Nxtra by Airtel,OWNS
278,1,Tata Communications,India AI infrastructure capex cycle,COMPANY,EVENT,Tata Communications benefits from India AI infrastructure capex cycle,BENEFITS_FROM
278,101,Tata Communications,"Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)",COMPANY,CUSTOMER,"Tata Communications supplies to Hyperscalers (Google, Meta, MSFT, AWS, OpenAI)",SUPPLIES_TO
279,1,Anant Raj,India AI infrastructure capex cycle,COMPANY,EVENT,Anant Raj benefits from India AI infrastructure capex cycle,BENEFITS_FROM
279,86,Anant Raj,Infra-ready land,COMPANY,CONSTRAINT,Anant Raj benefits from Infra-ready land,BENEFITS_FROM
280,86,Macrotech Developers,Infra-ready land,COMPANY,CONSTRAINT,Macrotech Developers benefits from Infra-ready land,BENEFITS_FROM
283,103,Embassy Office Parks REIT,Global Capability Centres,COMPANY,CUSTOMER,Embassy Office Parks REIT benefits from Global Capability Centres,BENEFITS_FROM
286,67,ABB India,Data centre capacity (MW IT load),COMPANY,PRODUCT,ABB India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
287,67,Siemens India,Data centre capacity (MW IT load),COMPANY,PRODUCT,Siemens India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
288,67,Siemens Energy India,Data centre capacity (MW IT load),COMPANY,PRODUCT,Siemens Energy India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
289,67,Hitachi Energy India,Data centre capacity (MW IT load),COMPANY,PRODUCT,Hitachi Energy India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
290,67,GE Vernova T&D India,Data centre capacity (MW IT load),COMPANY,PRODUCT,GE Vernova T&D India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
291,67,Schneider Electric Infrastructure,Data centre capacity (MW IT load),COMPANY,PRODUCT,Schneider Electric Infrastructure supplies to Data centre capacity (MW IT load),SUPPLIES_TO
292,100,CG Power & Industrial Solutions,India Semiconductor Mission / OSAT,COMPANY,POLICY,CG Power & Industrial Solutions benefits from India Semiconductor Mission / OSAT,BENEFITS_FROM
292,67,CG Power & Industrial Solutions,Data centre capacity (MW IT load),COMPANY,PRODUCT,CG Power & Industrial Solutions supplies to Data centre capacity (MW IT load),SUPPLIES_TO
293,85,Voltamp Transformers,CRGO electrical steel imports,COMPANY,CONSTRAINT,Voltamp Transformers constrained by CRGO electrical steel imports,CONSTRAINED_BY
293,67,Voltamp Transformers,Data centre capacity (MW IT load),COMPANY,PRODUCT,Voltamp Transformers supplies to Data centre capacity (MW IT load),SUPPLIES_TO
294,85,Transformers & Rectifiers India,CRGO electrical steel imports,COMPANY,CONSTRAINT,Transformers & Rectifiers India constrained by CRGO electrical steel imports,CONSTRAINED_BY
294,67,Transformers & Rectifiers India,Data centre capacity (MW IT load),COMPANY,PRODUCT,Transformers & Rectifiers India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
295,67,Shilchar Technologies,Data centre capacity (MW IT load),COMPANY,PRODUCT,Shilchar Technologies supplies to Data centre capacity (MW IT load),SUPPLIES_TO
296,67,Cummins India,Data centre capacity (MW IT load),COMPANY,PRODUCT,Cummins India supplies to Data centre capacity (MW IT load),SUPPLIES_TO
