text,ground_truth
"What products and services does DCB Bank offer, and which customer segments does it serve?","Retail and SME-focused model built around granular secured lending — mortgages, gold loans and MSME credit."
What is Karnataka Bank's ticker symbol and on which exchange(s) does it trade?,KTKBANK on the NSE; 532652 on the BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Karnataka Bank?",Raghavendra Srinivas Bhat has been MD & CEO since 16 July 2025; P. Pradeep Kumar is part-time non-executive chairman.
"What percentage of Karnataka Bank is held by its government promoter or largest shareholder, and as of what date?","No promoter group; classified as an ""A Class Scheduled Commercial Bank."" As of June 2026: FIIs 13.10%, domestic institutions 15.75%, public 71.15%."
What was Karnataka Bank's CASA ratio in the most recently reported quarter?,Cited at 12.46% year-on-year growth in recent commentary; a current ratio figure was not found.
What are Karnataka Bank's gross NPA and net NPA ratios?,Gross NPA 2.58%; net NPA 0.87% — elevated relative to several peers.
What are Karnataka Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on equity roughly 10-11.6% over recent three-year periods — well behind the better-performing private banks in the dataset.
What was Karnataka Bank's total advances (loan book) and deposit growth in the latest quarter?,"Aggregate business (advances plus deposits) reached ₹1.92 lakh crore per recent management commentary; deposits ₹1,08,777 crore as of Q1 FY27; sales growth of only 7.43% over the past five years."
"What credit ratings has Karnataka Bank received, and from which rating agencies?","This session's research could not retrieve a current credit rating for the bank, because the bank's own ratings page and the relevant rating-agency pages returned access errors during the research pass."
"Roughly how many branches and ATMs does Karnataka Bank operate, and as of what date?","957 branches across 22 states and two union territories, 1,188 ATMs and cash recyclers, and 588 e-lobbies and mini e-lobbies."
"What products and services does Karnataka Bank offer, and which customer segments does it serve?","Retail and SME-focused universal-bank model with a growing insurance-distribution push branded ""Insurance for all by 2047,"" serving more than 11 million customers as of a 2023 count."
What is Tamilnad Mercantile Bank's ticker symbol and on which exchange(s) does it trade?,TMB on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Tamilnad Mercantile Bank?",Salee S. Nair has been MD & CEO since RBI approval in August 2024; the current chairman was not found.
"What percentage of Tamilnad Mercantile Bank is held by its government promoter or largest shareholder, and as of what date?","No promoter. As of March 2025, overseas corporate-body shareholders collectively held roughly 22.4%, including Robert and Ardis James Company 4.45%, Starship Equity Holdings 4.25%, Subcontinental Equities 4.18%, East River Holdings 3.35%, and Swiss Re Investors (Mauritius) 3.20%."
What was Tamilnad Mercantile Bank's CASA ratio in the most recently reported quarter?,"Roughly 26% (CASA deposits ₹16,852 crore, up 16.94%, within total deposits of ₹64,409 crore, up 19.71%)."
What is Tamilnad Mercantile Bank's net interest margin (NIM) for the latest reported period?,"4.29%, up 45 basis points year-on-year."
What are Tamilnad Mercantile Bank's gross NPA and net NPA ratios?,Gross NPA falling to 0.69% from 1.22% a year earlier — a ten-year low; net NPA 0.17%.
"What is Tamilnad Mercantile Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 32.33% — very strong.
What are Tamilnad Mercantile Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 2.14% and return on equity 15.93%.
What was Tamilnad Mercantile Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total advances ₹57,306 crore, up 27.01%; total deposits ₹64,409 crore, up 19.71%."
"What credit ratings has Tamilnad Mercantile Bank received, and from which rating agencies?","CRISIL reaffirmed, on 10 June 2026, an A+ Stable rating on fixed deposits and A1+ on short-term fixed deposits and certificates of deposit."
"Roughly how many branches and ATMs does Tamilnad Mercantile Bank operate, and as of what date?","629 branches, of which 536 sit in rural, semi-urban and non-metro urban centers."
"What products and services does Tamilnad Mercantile Bank offer, and which customer segments does it serve?","Traditional South India-focused retail, MSME and agricultural model with a heavy gold-loan and rural/semi-urban franchise."
What is CSB Bank's ticker symbol and on which exchange(s) does it trade?,CSBBANK on the NSE; 542867 on the BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of CSB Bank?",Pralay Mondal is MD & CEO; the current chairman was not found.
"What percentage of CSB Bank is held by its government promoter or largest shareholder, and as of what date?","Promoted by Fairfax Financial Holdings of Canada, through FIH Mauritius Investments Ltd, which held 40.00% as of December 2025 (69,394,331 shares); Fairfax India separately sold a 9.7% stake for roughly $70 million in mid-2024."
What was CSB Bank's CASA ratio in the most recently reported quarter?,19%.
What are CSB Bank's gross NPA and net NPA ratios?,Gross NPA 1.75% (improved from 1.84%); net NPA 0.39% (down from 0.66%).
"What is CSB Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 19.96%.
What are CSB Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Standalone ROA/ROE not isolated; net profit ₹150 crore, up 27% year-on-year."
What was CSB Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹45,415 crore, up 26% year-on-year; net advances ₹40,309 crore, up 24%."
"What credit ratings has CSB Bank received, and from which rating agencies?","CRISIL rated the bank's Tier II Basel III bonds A Stable and its short-term fixed deposits/certificates of deposit A1+, reaffirmed 20 May 2026."
"Roughly how many branches and ATMs does CSB Bank operate, and as of what date?","Branch counts are inconsistent across sources — a Wikipedia infobox for FY22-23 cites 654 branches, while bank commentary references ""over 785""; not reconciled."
"What products and services does CSB Bank offer, and which customer segments does it serve?","Legacy Kerala institution pivoted, since Fairfax's 2018 ownership, toward gold loans, SME/wholesale lending and retail."
What is Bandhan Bank's ticker symbol and on which exchange(s) does it trade?,BANDHANBNK on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Bandhan Bank?",Partha Pratim Sengupta has been MD & CEO since RBI approval in October 2024; the current chairman was not found.
"What percentage of Bandhan Bank is held by its government promoter or largest shareholder, and as of what date?",Promoter Bandhan Financial Holdings held 39.98% as of December 2024; FIIs 23.2% (down from 34.8% a year earlier); domestic institutions 15.5%.
What was Bandhan Bank's CASA ratio in the most recently reported quarter?,"29.4%, up from 27.06% a year earlier."
What are Bandhan Bank's gross NPA and net NPA ratios?,"Gross NPA 3.1%; net NPA 0.9% — elevated relative to mainstream private banks, reflecting the legacy of microfinance-sector stress."
"What is Bandhan Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 18.2%.
What are Bandhan Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Standalone ROA/ROE not isolated; net profit ₹502 crore, up 35% year-on-year."
What was Bandhan Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹1,64,886 crore, up 6.6% year-on-year (down 0.9% quarter-on-quarter); gross advances ₹1,555.6 billion, up 16.4% year-on-year."
"What credit ratings has Bandhan Bank received, and from which rating agencies?","CRISIL reaffirmed, on 30 September 2025, an AA- Stable rating on non-convertible debentures and an A1+ rating on certificates of deposit."
"Roughly how many branches and ATMs does Bandhan Bank operate, and as of what date?","Roughly 6,350 banking outlets as of 30 June 2026."
"What products and services does Bandhan Bank offer, and which customer segments does it serve?","Originated as a microfinance NGO in 2001, converted to a universal bank in 2015 — India's first such conversion — retaining its microfinance/""Emerging Entrepreneurs Business"" (EEB) heritage while scaling secured retail lending, particularly affordable housing following its 2019 merger with Gruh Finance."
What is Jammu & Kashmir Bank's ticker symbol and on which exchange(s) does it trade?,J&KBANK on the NSE; 532209 on the BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Jammu & Kashmir Bank?",Amitava Chatterjee has been MD & CEO since December 2024.
"What percentage of Jammu & Kashmir Bank is held by its government promoter or largest shareholder, and as of what date?","The Government of J&K and Ladakh held 59.40% as of June 2025 (Chief Secretary of J&K 51.89%, Finance Secretary of UT Ladakh 4.16%, Secretary of the J&K Finance Department 3.35%) — a unique state-government promoter structure not seen elsewhere in the dataset."
What was Jammu & Kashmir Bank's CASA ratio in the most recently reported quarter?,"CARE Ratings describes the bank as having ""high CASA deposits,"" though an exact current ratio was not found."
What are Jammu & Kashmir Bank's gross NPA and net NPA ratios?,Gross NPA improving to 2.37% from 2.50% quarter-on-quarter.
"What is Jammu & Kashmir Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 16.67% under Basel III.
What are Jammu & Kashmir Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Standalone ROA/ROE not isolated; net profit for the quarter was ₹424.18 crore.
What was Jammu & Kashmir Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹1,73,420.33 crore in Q1 FY27, up from ₹1,65,354 crore at end-FY26; advances ₹1,28,183.11 crore, up from ₹1,22,641.02 crore, up 4.5% quarter-on-quarter."
"What credit ratings has Jammu & Kashmir Bank received, and from which rating agencies?",CARE Ratings reaffirmed an AA- Stable rating on 15 September 2025 on the bank's Tier II Basel III bonds.
"Roughly how many branches and ATMs does Jammu & Kashmir Bank operate, and as of what date?","1,008 branches as of December 2025 (835 within J&K, 37 in Ladakh, 136 elsewhere in India, plus 99 ultra-small branches) and 1,436 ATMs and 169 cash-recycling machines."
"What products and services does Jammu & Kashmir Bank offer, and which customer segments does it serve?","Both an RBI-designated universal bank and the exclusive banker to the Government of Jammu & Kashmir and the Union Territory of Ladakh, including collection agent for central direct taxes, nodal bank for the Public Financial Management System, lead bank in 12 J&K districts, and convenor of the UT Level Bankers' Committee."
What is Dhanlaxmi Bank's ticker symbol and on which exchange(s) does it trade?,DHANBANK on the NSE; 532180 on the BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Dhanlaxmi Bank?",Ajith Kumar K.K. has been MD & CEO since RBI approval in 2024; the current chairman was not found.
"What percentage of Dhanlaxmi Bank is held by its government promoter or largest shareholder, and as of what date?","No promoter, widely held. As of March 2025, largest shareholder B. Ravindran Pillai (NRI) 10.00%, director Jineesh Nath C.K. 7.50%, NRI Yusuffali M.A. 5.00%, Kapilkumar Wadhawan 3.20%; FPIs Ares Diversified 3.74% and Ayushmat Ltd 3.38%; FIIs ~15.31% overall, domestic institutions ~0.1%."
What are Dhanlaxmi Bank's gross NPA and net NPA ratios?,Gross NPA improving sharply to 1.82% from 3.22% a year earlier.
What are Dhanlaxmi Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Standalone ROA/ROE not isolated; net profit doubled year-on-year to ₹24.9 crore.
What was Dhanlaxmi Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total business crossed ₹35,000 crore in the quarter."
"What credit ratings has Dhanlaxmi Bank received, and from which rating agencies?","ICRA reaffirmed, on 24 March 2026, a BBB- Stable rating on the bank's ₹150 crore Basel III Tier II bonds (10.50% coupon, maturing April 2035) — close to sub-investment grade."
"Roughly how many branches and ATMs does Dhanlaxmi Bank operate, and as of what date?",264 branches and 285 ATMs (both dated figures).
"What products and services does Dhanlaxmi Bank offer, and which customer segments does it serve?","Small, Kerala-origin institution that has previously faced governance disputes, including a 2020 shareholder-led removal of its then-CEO."
What is IDBI Bank's ticker symbol and on which exchange(s) does it trade?,IDBI on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of IDBI Bank?","Rakesh Sharma is MD & CEO, and T. N. Manoharan is chairman, a part-time independent director."
"What percentage of IDBI Bank is held by its government promoter or largest shareholder, and as of what date?","LIC holds 49.24% and the Government of India a further 45.48-45.50%, as of August 2025 — a combined roughly 94.7%; the two owners are jointly selling a combined 60.72% controlling stake in a landmark strategic disinvestment."
What was IDBI Bank's CASA ratio in the most recently reported quarter?,A current CASA ratio was not found.
What is IDBI Bank's net interest margin (NIM) for the latest reported period?,"A separately reported, lower-confidence Q1 FY27 source cites net interest margin of 3.61%, down from 3.68%."
What are IDBI Bank's gross NPA and net NPA ratios?,Gross NPA improving sharply to 2.98% from 4.53% a year earlier (FY24-25); a separate lower-confidence Q1 FY27 source cites gross NPA of 2.3%.
What are IDBI Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,FY24-25: return on equity 16.10% and return on assets 1.82%.
What was IDBI Bank's total advances (loan book) and deposit growth in the latest quarter?,"FY24-25 deposits ₹309,975 crore; advances ₹218,399 crore."
"What credit ratings has IDBI Bank received, and from which rating agencies?","No current, dated credit rating could be confirmed this session."
"Roughly how many branches and ATMs does IDBI Bank operate, and as of what date?","Branch counts are inconsistent across sources — roughly 2,104 per one aggregate table, versus 1,890-plus per the bank's own FY24-25 disclosure; ATM counts range from 3,300 to more than 3,700 depending on the source."
"What products and services does IDBI Bank offer, and which customer segments does it serve?","Combines legacy development-finance and infrastructure-lending heritage with full universal banking — retail, corporate, MSME, agricultural and treasury business, plus investment banking through its IDBI Capital Markets subsidiary."
What is AU Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,AUBANK on the NSE and BSE (ISIN INE949L01017).
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of AU Small Finance Bank?","Sanjay Agarwal, the bank's founder, serves as MD & CEO."
"What percentage of AU Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","Sanjay Agarwal and family (Jyoti Agarwal, Shakuntala Agarwal among them) together held 22.76% as of 31 March 2026. Foreign portfolio investors held roughly 37.68% as of June 2025 (Camas Investments ~3.62%, New World Fund ~2.82%); HDFC Mid-Cap Fund 6.37%."
What was AU Small Finance Bank's CASA ratio in the most recently reported quarter?,Roughly 29% in Q1 FY27.
What is AU Small Finance Bank's net interest margin (NIM) for the latest reported period?,5.9%.
What are AU Small Finance Bank's gross NPA and net NPA ratios?,Gross NPA improving to 2.10% and net NPA to 0.76% year-on-year.
"What is AU Small Finance Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 18.9% with CET1 17.1%.
What are AU Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Profit after tax ₹795.95 crore, up 37% year-on-year; standalone ROA/ROE not isolated."
What was AU Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹1,57,727 crore, up 24% year-on-year; gross advances ₹1,44,250 crore, up 23%."
"What credit ratings has AU Small Finance Bank received, and from which rating agencies?","ICRA reaffirmed an AA Stable long-term entity rating on 27 February 2026; a CRISIL rating dated 2 April 2026 is on file, though its specific value was not extracted."
"Roughly how many branches and ATMs does AU Small Finance Bank operate, and as of what date?","Roughly 2,790 physical touchpoints across 21 states and four union territories as of March 2026."
"What products and services does AU Small Finance Bank offer, and which customer segments does it serve?","Core historical strength in vehicle (""wheels"") finance, since expanded into MSME, retail, wholesale and digital banking; received RBI in-principle approval on 7 August 2025 to convert to a full universal bank — the first small finance bank to reach that milestone."
What is Equitas Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,EQUITASBNK on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Equitas Small Finance Bank?",Pathangi P. N. Vasudevan has been MD & CEO since 2016; Anil Sharma is independent non-executive part-time chairman.
"What percentage of Equitas Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","No promoter (Equitas Holdings amalgamated into the bank in 2023). As of December 2024: HDFC Mutual Fund 8.57%, Franklin India 6.29%, SBI Mutual Fund 6.04%; mutual funds overall ~37.27%, foreign portfolio investors ~11.45%."
What was Equitas Small Finance Bank's CASA ratio in the most recently reported quarter?,25%.
What is Equitas Small Finance Bank's net interest margin (NIM) for the latest reported period?,7.24% on a daily-average basis.
What are Equitas Small Finance Bank's gross NPA and net NPA ratios?,Gross NPA in a 2.36-2.42% range depending on the source; net NPA 0.70-0.71%.
"What is Equitas Small Finance Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy was not found this session.
What are Equitas Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Return on assets 1.18%; return on equity 11.76%.
What was Equitas Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,"Deposits ₹48,976 crore, up 10% year-on-year; advances roughly ₹47,641-47,653 crore, up about 27%."
"What credit ratings has Equitas Small Finance Bank received, and from which rating agencies?","CARE Ratings reaffirmed an AA- Stable issuer rating (and the same on lower Tier II bonds), with A1+ on certificates of deposit, on 7 September 2026."
"Roughly how many branches and ATMs does Equitas Small Finance Bank operate, and as of what date?",Not specifically given beyond its diversified retail branch model.
"What products and services does Equitas Small Finance Bank offer, and which customer segments does it serve?","Deliberately diversified retail model spanning small-business and MSE lending, vehicle finance, affordable housing and microfinance, with management explicitly capping microfinance near roughly 10% of the book (small-business loans 40%, vehicle finance 23%, housing 13%, microfinance 13%, MSE 5%, NBFC lending 4%, remainder gold loans)."
What is Ujjivan Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,UJJIVANSFB on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Ujjivan Small Finance Bank?","Sanjeev Nautiyal, appointed MD & CEO in May 2024, took early retirement effective 1 September 2026 for health reasons, with Carol Furtado (executive director) appointed acting MD & CEO pending RBI approval; Banavar Prabhakar is independent part-time chairman."
"What percentage of Ujjivan Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","0% promoter holding as of September 2025 (holding company amalgamated into the bank). Franklin India Opportunities Fund 2.93%, Sundaram Small Cap Fund 2.37%, International Finance Corporation 3.21%; mutual funds overall 14.83%, foreign portfolio investors 12.71%."
What was Ujjivan Small Finance Bank's CASA ratio in the most recently reported quarter?,"CASA deposits ₹12,930 crore, up 37.8% year-on-year, within total deposits of ₹48,129 crore."
What are Ujjivan Small Finance Bank's gross NPA and net NPA ratios?,Gross NPA 2.17%.
What are Ujjivan Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Profit after tax ₹317 crore, up 206.7% year-on-year; return on equity 18.2%."
What was Ujjivan Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹48,129 crore, up 25% year-on-year; gross loan book grew 28.9% year-on-year."
"What credit ratings has Ujjivan Small Finance Bank received, and from which rating agencies?",CRISIL reaffirmed an A1+ rating on the certificate-of-deposit programme on 9 January 2026; the long-term entity-rating value was not extracted.
"Roughly how many branches and ATMs does Ujjivan Small Finance Bank operate, and as of what date?",842 banking touchpoints across 326 districts in 26 states and union territories.
"What products and services does Ujjivan Small Finance Bank offer, and which customer segments does it serve?","Diversifying from its microfinance origin into affordable housing, MSME lending, gold loans and secured retail more broadly, with the secured book growing considerably faster than microbanking (secured up 42.7%, microbanking up 16.8%, affordable housing ₹11,210 crore up 40.8%, MSME up 54%, gold loans up 248.6%)."
What is ESAF Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,ESAFSFB on the NSE and BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of ESAF Small Finance Bank?",Dr. K. Paul Thomas has been MD & CEO since October 2018; Karthikeyan Manickam is independent part-time chairman.
"What percentage of ESAF Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","ESAF Financial Holdings Pvt Ltd held 52.87% as of September 2025, ESAF Swasraya Multistate Agro Co-operative Society a further 4.35%, and individuals including Paul Thomas and Beena George roughly 6.08% between them — a combined promoter holding of 63.30%."
What was ESAF Small Finance Bank's CASA ratio in the most recently reported quarter?,"23.39%, down from 24.79% a year earlier."
What is ESAF Small Finance Bank's net interest margin (NIM) for the latest reported period?,"7.9%, up from 6%."
What are ESAF Small Finance Bank's gross NPA and net NPA ratios?,Gross NPA down to 5.40% from 7.48%; net NPA down to 0.83% from 3.77%.
"What is ESAF Small Finance Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Capital adequacy 23.86%, up from 22.74%."
What are ESAF Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Returned to profit this quarter with profit after tax of ₹80 crore against a loss of ₹81 crore a year earlier; standalone ROA/ROE not isolated.
What was ESAF Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,"Deposits ₹26,925 crore, up 18.62% year-on-year; gross advances ₹23,216 crore, up 27.39%."
"What credit ratings has ESAF Small Finance Bank received, and from which rating agencies?","CARE Ratings rated the bank A- long-term and A1 short-term as of a 2 September 2026 outlook revision, moving the outlook from Negative to Stable."
"Roughly how many branches and ATMs does ESAF Small Finance Bank operate, and as of what date?",Not specifically given in the dataset.
"What products and services does ESAF Small Finance Bank offer, and which customer segments does it serve?","Pursuing an explicit ""portfolio clean-up"" strategy since the 2024-25 sector-wide microfinance stress cycle, actively diversifying into secured retail lending; secured advances now 62.38% of the book, up from 58.73% a year earlier."
What is Utkarsh Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,UTKARSHBNK on the NSE; 543942 on the BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Utkarsh Small Finance Bank?",Govind Singh is MD & CEO; Dr. Kshatrapati Shivaji is independent director and part-time chairman.
"What percentage of Utkarsh Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","Promoter Utkarsh CoreInvest's holding fell from 68.92% in March 2025 to 42.67% by June 2026. FIIs 11.90%, domestic institutions 9.54%, public 35.88% as of June 2026."
What was Utkarsh Small Finance Bank's CASA ratio in the most recently reported quarter?,"22.1%, up from 19.7% a year earlier."
What are Utkarsh Small Finance Bank's gross NPA and net NPA ratios?,Gross NPA 6.09% and net NPA 2.86% — the highest asset-quality stress of any small finance bank in the dataset.
What are Utkarsh Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Net loss narrowed 85.84% year-on-year, to ₹33.9 crore from ₹239.5 crore; standalone ROA/ROE not isolated."
What was Utkarsh Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,"Total deposits ₹22,053 crore, up just 2.6% year-on-year; gross loans ₹19,612 crore, up only 2.0% (non-JLG portfolio ₹14,132 crore, up 32.7%)."
"What credit ratings has Utkarsh Small Finance Bank received, and from which rating agencies?","ICRA revised the bank's rating outlook to Negative on 22 May 2025 over asset-quality concerns; CARE Ratings separately assigned an A- Stable rating to a proposed ₹500 crore Tier II bond and reaffirmed existing ₹200 crore bonds in September 2026 — the two agencies' assessments diverge, unresolved in the dataset."
"Roughly how many branches and ATMs does Utkarsh Small Finance Bank operate, and as of what date?",Not specifically given in the dataset.
"What products and services does Utkarsh Small Finance Bank offer, and which customer segments does it serve?","Historically a JLG (joint-liability-group) microfinance-heavy model, now pushing explicitly to grow its non-JLG, secured-retail book."
What is Suryoday Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,SURYODAY on the NSE; 543279 on the BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Suryoday Small Finance Bank?","Baskar Babu Ramachandran, co-founder, has been MD & CEO for roughly 18.7 years; Krishna Nair is independent, non-executive part-time chairman."
"What percentage of Suryoday Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","Founding-individual promoters — Baskar Babu Ramachandran 5.22%, Sheela Pai Cole 4.18%, Sunaina Pai Ocalan 4.18%, P. S. Jagdish 3.32% — for a combined promoter group of 22.48% as of June 2026. Domestic institutions 5.47%, foreign institutions 5.35%, public 66.70%."
What is Suryoday Small Finance Bank's net interest margin (NIM) for the latest reported period?,"4.21%, up from 4.06% a year earlier."
What are Suryoday Small Finance Bank's gross NPA and net NPA ratios?,Reported as 2.47% by one source and 6.60% by another for the same period — an unresolved discrepancy that should be checked against the bank's own primary filing. Net NPA fell in a range of 1.14% to 1.27% depending on the source.
"What is Suryoday Small Finance Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?",Capital adequacy 21.6%.
What are Suryoday Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,Net profit rising 113.10% year-on-year to ₹75.18 crore.
What was Suryoday Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,"Deposits ₹10,596 crore, up 16.3% year-on-year; gross loan book ₹9,074 crore, up 22.0% — the smallest loan book of any small finance bank in the dataset."
"What credit ratings has Suryoday Small Finance Bank received, and from which rating agencies?","A CRISIL update dated November 2025 and an ICRA update dated March 2025 are both on file, but neither's specific rating value could be extracted."
"Roughly how many branches and ATMs does Suryoday Small Finance Bank operate, and as of what date?",Not specifically given in the dataset.
"What products and services does Suryoday Small Finance Bank offer, and which customer segments does it serve?","Urban and semi-urban microfinance-origin model; a financial-data aggregator flags that ""other income,"" including gains, forms a notably large part of the bank's reported profit in recent periods."
What is Jana Small Finance Bank's ticker symbol and on which exchange(s) does it trade?,JSFB on the NSE; 544118 on the BSE.
"Who is the current MD & CEO (or Chairman, where that is the top executive title) of Jana Small Finance Bank?",Ajay Chamanlal Kanwal has been MD & CEO since August 2017; Chitra Talwar is non-executive independent part-time chairperson.
"What percentage of Jana Small Finance Bank is held by its government promoter or largest shareholder, and as of what date?","Promoter Jana Holdings Limited held 16.94% as of June 2026, down from 22.54% in March 2024. Volrado Venture Partners Fund-III 2.78%, ICICI Prudential Life Insurance 1.54%, Ananta Capital Ventures Fund 1 1.46%, Singularity Growth Opportunities Fund II 1.34%; long-standing backing from TPG Capital and HarbourVest Partners."
What are Jana Small Finance Bank's gross NPA and net NPA ratios?,Gross NPA 2.39% (improved from 2.46% in the prior quarter); net NPA 0.91% (from 0.92%).
"What is Jana Small Finance Bank's capital adequacy ratio (CRAR), and its CET1 ratio if disclosed?","Capital adequacy improved to 20.18% as of Q1 FY27, up from 19.38% in the prior quarter."
What are Jana Small Finance Bank's return on assets (ROA) and return on equity (ROE) for the latest quarter?,"Profit after tax ₹155.23 crore, up 52.29% year-on-year; FY26 return on equity was only 8%."
What was Jana Small Finance Bank's total advances (loan book) and deposit growth in the latest quarter?,A detailed segment-level breakdown of the loan book was not found; growth rate cited alongside a net-interest-income figure (flagged as inconsistent with the bank's scale) was 22.07% year-on-year.
"What credit ratings has Jana Small Finance Bank received, and from which rating agencies?","No current, dated credit rating from CRISIL, CARE, ICRA or Fitch could be independently confirmed, though an aggregator references ""recent ratings updates from CARE, Fitch, and ICRA (latest July 2026)"" without giving retrievable values."
"Roughly how many branches and ATMs does Jana Small Finance Bank operate, and as of what date?",Not specifically given in the dataset.
"What products and services does Jana Small Finance Bank offer, and which customer segments does it serve?","Diversified model with a digital-banking push branded ""DigiGen,"" having moved beyond its pure microfinance origins into secured retail and MSME banking."
"What is State Bank of India's primary competitive advantage, and how strong is the evidence behind that claim?","Its unmatched branch, ATM and digital scale combined with sovereign backing (high confidence, direct evidence)."
What is the key strength identified for State Bank of India in the current analysis?,"Record profitability with the lowest non-performing-asset levels in more than two decades (high confidence, direct evidence)."
What is the main weakness or vulnerability flagged for State Bank of India?,"Its domestic net interest margin, at 3.00%, trails several private-bank peers (medium confidence, direct evidence)."
What is the biggest threat facing State Bank of India according to the analysis?,"HDFC Bank and ICICI Bank, chief among private banks, continuing to take retail and digital market share (inferred, not directly stated by the bank)."
"What credit, market, operational or regulatory risks is State Bank of India exposed to?","Credit risk from its large corporate loan book, interest-rate risk given its deposit-base size, cyber risk given its digital-user scale, and ordinary regulatory risk."
Who are State Bank of India's main named competitors?,HDFC Bank and ICICI Bank are named as the private-bank peers taking retail/digital market share.
"What is Bank of Baroda's primary competitive advantage, and how strong is the evidence behind that claim?","Its 24-country network (medium confidence — the branch count is direct fact, but its strategic value is inferential)."
What is the main weakness or vulnerability flagged for Bank of Baroda?,"Reported net profit fell 72% year-on-year to ₹1,278 crore because of the ₹5,680 crore NMC Health legal settlement (adjusted profit ₹5,528 crore) — high confidence, directly evidenced."
What is the biggest threat facing Bank of Baroda according to the analysis?,Funding-cost pressure implied by rising reliance on bulk and CD funding as CASA declines.
"What credit, market, operational or regulatory risks is Bank of Baroda exposed to?","Regulatory and litigation risk (illustrated by the NMC settlement), ordinary credit risk, funding risk from CASA erosion, and the operational complexity of running operations across 24 jurisdictions."
What is the key strength identified for Punjab National Bank in the current analysis?,"A sharp asset-quality turnaround — gross NPA more than halved to 2.78%, provision coverage 97.23%, net profit up 213.6% year-on-year to ₹5,253 crore (high confidence, directly evidenced)."
What is the main weakness or vulnerability flagged for Punjab National Bank?,Net interest income growth of only 2.1% is lagging the pace of balance-sheet growth.
